Bedroom,Bathroom,Floor,Parking,Property Face,Build Year(In B.S.),Area Covered(Sq.Feet),Posted Date(Moth Ago),Price(NRS.),District,Location,Road Distance(Feet),Type of Road
6,3,3.0,1,East,2080.0,1219.26,1,22500000,Lalitpur,Tikathali,13,Paved
4,4,2.5,1,West,2080.0,1026.75,1,24000000,Lalitpur,Imadol,13,Blacktopped
5,3,2.5,1,East,2080.0,2032.1,2,44800000,Lalitpur,Sunakothi,20,Blacktopped
2,1,1.35,1,North East,2076.0,1197.87,48,13000000,Lalitpur,Imadol,10,Gravelled
5,3,2.5,1,East,2080.0,1647.0700000000002,2,39000000,Lalitpur,Sunakothi,20,Blacktopped
7,4,3.0,2,North,,1540.12,12,31000000,Bhaktapur,Sipadol,20,
2,1,1.0,3,West,,898.4,1,14500000,Lalitpur,Imadol,13,Paved
5,3,3.0,1,South East,,1048.14,24,18000000,Bhaktapur,Changunarayan,13,
4,4,2.5,1,South,,1026.75,8,25500000,Lalitpur,Imadol,13,Paved
3,4,3.0,1,South,,941.18,1,25000000,Lalitpur,Tikathali,13,Paved
5,6,3.0,4,South,,1283.43,1,35000000,Lalitpur,Imadol,13,Gravelled
5,3,2.5,1,South,2080.0,3251.37,2,83500000,Lalitpur,Sunakothi,20,Blacktopped
4,4,2.5,1,South,2080.0,941.18,2,23700000,Lalitpur,Imadol,13,Concrete
3,3,2.0,2,West,2080.0,1026.75,3,26500000,Lalitpur,Tikathali,13,Paved
6,2,2.0,0,South,2068.0,941.18,12,24500000,Kathmandu,Kapan,24,Blacktopped
8,4,4.0,1,West,,1369.0,8,38000000,Lalitpur,Dhapakhel,20,Soil Stabilized
5,4,3.0,1,South East,2080.0,1390.39,1,33500000,Lalitpur,Mahalaxmisthan,13,Blacktopped
5,4,2.0,2,South West,,2395.75,1,48000000,Kathmandu,Maharajgunj,13,Gravelled
5,5,3.0,1,West,,1112.31,1,39500000,Lalitpur,Harisiddhi,20,Blacktopped
4,4,3.0,2,West,,1369.0,8,57000000,Lalitpur,Bhaisepati,35,Blacktopped
6,2,3.0,2,North,2066.0,1197.87,3,19999999,Kathmandu,Dhumbarahi,8,Paved
3,4,2.5,1,East,2073.0,941.18,2,25000000,Lalitpur,Imadol,13,Concrete
4,4,2.5,1,South East,2080.0,1112.31,2,26500000,Lalitpur,Imadol,13,Concrete
6,3,3.0,1,East,2075.0,1197.87,36,19500000,Bhaktapur,Sipadol,10,Gravelled
4,3,3.0,2,South,2071.0,1754.03,48,39500000,Bhaktapur,Balkot,28,Blacktopped
5,4,3.0,1,South,2081.0,1112.31,1,31500000,Lalitpur,Imadol,0,
7,4,3.5,1,North,2080.0,1026.75,1,28000000,Lalitpur,Imadol,20,Concrete
7,5,4.0,2,South West,2079.0,1625.68,10,33000000,Bhaktapur,Dadikot,13,Gravelled
2,1,1.0,1,East,,1155.09,1,16500000,Lalitpur,Tikathali,0,
4,4,3.0,3,North West,2077.0,1925.15,36,36500000,Lalitpur,Kusunti,13,Blacktopped
3,2,2.5,0,North,2080.0,1411.78,3,37500000,Kathmandu,Sanobharyang,20,Gravelled
4,3,2.5,1,East,2075.0,1197.87,12,26000000,Lalitpur,Imadol,13,Gravelled
5,5,3.0,2,South,2078.0,3336.93,24,79500000,Lalitpur,Thecho,13,Paved
6,3,3.0,2,East,2073.0,1711.25,24,28000000,Lalitpur,Dhapakhel,13,Blacktopped
6,5,3.0,2,South,2080.0,1411.78,1,33500000,Lalitpur,Imadol,13,Blacktopped
5,3,2.5,1,West,,855.62,1,21000000,Lalitpur,Nakkhu,13,Blacktopped
5,4,2.5,2,East,2075.0,1048.14,48,26000000,Lalitpur,Hattiban,20,Gravelled
7,5,2.0,2,South East,2080.0,1475.95,1,41500000,Lalitpur,Nakhipot,16,
12,3,3.0,0,East,,1369.0,36,28500000,Bhaktapur,Suryabinayak,13,Blacktopped
3,4,3.0,1,South West,2079.0,1475.95,3,35000000,Kathmandu,Thali,20,Gravelled
4,4,2.0,4,South East,,1882.37,1,55000000,Kathmandu,Chundevi,12,Blacktopped
5,3,3.0,1,North East,2076.0,1369.0,24,20000000,Bhaktapur,Duwakot,33,Blacktopped
4,2,3.0,2,West,2077.0,1711.25,12,27500000,Lalitpur,Lubhu,13,Gravelled
4,4,2.5,1,East,,1625.68,6,52000000,Kathmandu,Baluwatar,14,Blacktopped
2,1,1.5,1,East,2077.0,1026.75,36,12500000,Lalitpur,Imadol,13,Gravelled
4,3,3.0,2,North West,2048.0,4107.0,24,95000000,Lalitpur,Jawalakhel,26,Blacktopped
5,3,3.0,3,North East,2075.0,2224.62,24,36500000,Kathmandu,Hattigauda,13,Paved
6,5,3.0,2,East,2080.0,1369.0,3,33500000,Kathmandu,Kapan,14,Paved
4,4,3.0,1,East,2078.0,1026.75,24,21000000,Lalitpur,Imadol,13,Soil Stabilized
5,4,2.5,1,North East,2080.0,1454.56,3,58000000,Kathmandu,Thulo Bharyang,16,Concrete
7,5,3.0,1,South,2080.0,1369.0,2,41500000,Lalitpur,Imadol,13,Concrete
3,3,2.0,2,South West,2075.0,1711.25,24,24500000,Bhaktapur,Sirutar,13,Paved
4,3,2.5,1,South West,2070.0,1197.87,3,28500000,Kathmandu,Swayambhu,13,Concrete
6,5,2.0,0,West,,2909.12,1,78500000,Kathmandu,Budhanilkantha,16,Blacktopped
5,3,2.5,1,South,2080.0,1561.51,2,39000000,Lalitpur,Sunakothi,20,Blacktopped
5,4,2.0,4,West,,2759.39,1,29000000,Lalitpur,Imadol,13,Paved
5,5,2.5,3,North,,2053.5,12,45000000,Lalitpur,Hattiban,16,Blacktopped
5,5,2.0,7,South East,,6673.87,1,152500000,Kathmandu,Naxal,18,Blacktopped
3,4,3.0,6,North,,1925.15,1,53000000,Bhaktapur,Balkot,24,Blacktopped
4,4,2.5,1,East,,1026.75,8,24500000,Lalitpur,Imadol,13,Soil Stabilized
2,1,1.0,1,West,2080.0,983.96,1,16000000,Lalitpur,Tikathali,13,Paved
10,3,3.0,2,East,2077.0,1283.43,24,21000000,Bhaktapur,Changunarayan,10,Gravelled
6,4,2.5,1,West,2077.0,1112.31,2,27000000,Lalitpur,Imadol,13,Concrete
4,3,2.5,2,North East,,1369.0,6,60000000,Kathmandu,Tahachal,20,Blacktopped
7,3,2.5,1,West,,1540.12,3,30000000,Kathmandu,Sitapaila,16,Blacktopped
4,4,3.0,2,East,2078.0,1048.14,24,24500000,Lalitpur,Imadol,13,Gravelled
9,9,4.5,3,East,,3422.5,8,70000000,Lalitpur,Satdobato,13,Blacktopped
4,3,2.5,1,South,2080.0,1369.0,1,26000000,Lalitpur,Dhapakhel,18,Gravelled
5,3,2.5,1,West,2080.0,2246.01,2,49200000,Lalitpur,Sunakothi,20,Blacktopped
4,4,3.0,1,West,2078.0,1369.0,2,45000000,Kathmandu,Budhanilkantha,20,Blacktopped
6,5,3.0,2,North,2078.0,1369.0,24,33500000,Kathmandu,Budhanilkantha,13,Gravelled
4,5,2.5,2,South West,2080.0,2823.56,2,67700000,Kathmandu,Budhanilkantha,20,Blacktopped
7,2,3.0,0,South,,1326.21,48,22500000,Lalitpur,Imadol,13,Gravelled
11,5,3.5,2,South,2052.0,1369.0,36,28500000,Kathmandu,Baneshwor,20,Blacktopped
7,5,2.5,3,South East,,3593.62,4,80000000,Kathmandu,Budhanilkantha,23,Concrete
2,1,1.0,0,East,,1347.6,48,13000000,Lalitpur,Imadol,13,Gravelled
7,3,2.5,1,North,2066.0,1711.25,48,39000000,Kathmandu,Baluwatar,10,Blacktopped
2,1,1.0,3,East,,1197.87,1,17000000,Lalitpur,Tikathali,13,Blacktopped
6,3,3.0,2,East,2069.0,1026.75,36,19000000,Kathmandu,Boudha,8,Blacktopped
6,3,2.5,1,West,2080.0,1026.75,1,26000000,Lalitpur,Tikathali,13,Concrete
5,4,3.0,3,South,2078.0,1197.87,24,32500000,Kathmandu,Thulo Bharyang,13,Paved
5,5,3.0,1,South East,2080.0,1540.12,11,38500000,Kathmandu,Budhanilkantha,13,Gravelled
5,5,3.0,1,North East,2080.0,1411.78,11,38500000,Kathmandu,Budhanilkantha,13,Gravelled
4,3,3.0,0,South,,855.62,48,15000000,Lalitpur,Imadol,13,Gravelled
2,1,2.0,1,East,2073.0,1112.31,24,18000000,Kathmandu,Gothatar,13,Blacktopped
4,4,3.0,1,East,2078.0,1026.75,24,21500000,Lalitpur,Imadol,13,Gravelled
5,5,2.5,1,North,2077.0,1711.25,36,46000000,Kathmandu,Budhanilkantha,14,Concrete
4,5,2.5,2,South West,2080.0,2909.12,2,65600000,Kathmandu,Budhanilkantha,20,Blacktopped
2,1,1.5,1,South,2076.0,983.96,48,11500000,Lalitpur,Tikathali,13,Gravelled
4,4,3.0,2,East,2078.0,1197.87,24,24500000,Lalitpur,Imadol,13,Gravelled
