Bedroom,Bathroom,Floor,Parking,Property Face,Build Year,Area Covered,Build Up Area,Posted Date,Price,District,Location,Road Distance,Type of Road
6,6,2.5,1,West,2080.0,0-4-2-0 Aana,N/A Aana,5 days ago,38000000,Kathmandu,Budhanilkantha,13 Feet,Concrete
9,4,3.0,3,South,,3 Aana,N/A Aana,4 years ago,22500000,Kathmandu,Samakhusi,13 Feet,Blacktopped
0,0,,0,West,,5 Aana,N/A Aana,4 years ago,10000000,Lalitpur,Lamatar,12 Feet,Soil Stabilized
15,6,3.0,10,North,2075.0,10 Dhur,10 Dhur,4 years ago,23000000,Chitwan,Bharatpur,20 Feet,Blacktopped
4,4,3.0,1,West,2080.0,0-5-0-0 Aana,N/A Aana,2 days ago,40000000,Kathmandu,Budhanilkantha,30 Feet,Blacktopped
8,0,,0,North,,0-3-0-1 Aana,N/A Aana,4 years ago,16500000,Kathmandu,Gothatar,13 Feet,Gravelled
3,4,2.5,2,West,2074.0,0-3-2-3 Aana,1526.19 Aana,2 months ago,34100000,Kathmandu,Sitapaila,20 Feet,Blacktopped
5,3,3.0,0,South,,4 Aana,N/A Aana,4 years ago,27500000,Kathmandu,Tokha,26 Feet,Gravelled
4,3,,0,South,,3 Aana,N/A Aana,4 years ago,16500000,Kathmandu,Nag Pokhari,12 Feet,
0,0,,0,South,,0-6-3-0 Aana,N/A Aana,4 years ago,36000000,Kathmandu,Gothatar,20 Feet,Gravelled
4,2,2.0,2,South,,3.1 Aana,N/A Aana,4 years ago,21000000,Kathmandu,Swayambhu,18 Feet,
0,0,,0,North,,0-3-3-0 Aana,N/A Aana,4 years ago,24000000,Kathmandu,Sukedhara,13 Feet,Soil Stabilized
5,4,,0,North,,4 Aana,N/A Aana,4 years ago,26000000,Lalitpur,Bhaisepati,13 Feet,Blacktopped
0,0,2.0,0,West,2075.0,1.5 Aana,N/A Aana,3 years ago,9500000,Kathmandu,Kirtipur,12 Feet,Gravelled
4,2,2.0,1,West,,0-5-2-2 Aana,2046.64 Aana,3 years ago,25500000,Kathmandu,Syuchatar,0 Feet,
0,0,,0,East,,0-3-1-0 Aana,N/A Aana,4 years ago,23500000,Kathmandu,Basundhara,15 Feet,Blacktopped
11,0,,0,North,,5 Aana,N/A Aana,4 years ago,29800000,Kathmandu,Sukedhara,13 Feet,Blacktopped
3,3,6.0,1,North East,,1380 Sq. Feet,N/A Sq. Feet,3 years ago,17500000,Kathmandu,Tokha,0 Feet,
4,5,2.5,2,South West,2080.0,0-8-1-0 Aana,3755 Sq. Feet,2 months ago,67600000,Kathmandu,Budhanilkantha,20 Feet,Blacktopped
7,5,3.0,3,South East,2074.0,6.5 Aana,6.5 Aana,4 years ago,37000000,Pokhara,Ranipauwa,20 Feet,Gravelled
0,0,,0,South,,0-1-3-0 Aana,N/A Aana,4 years ago,25000000,Kathmandu,Kalimati,9 Feet,Blacktopped
3,4,3.5,1,North,2078.0,0-6-1-3 Aana,2900 Sq. Feet,1 year ago,53600000,Kathmandu,Sitapaila,20 Feet,Paved
0,0,3.0,0,South East,,3.5 Ropani,N/A Ropani,4 years ago,180000000,Kathmandu,Maharajgunj,13 Feet,
5,4,2.5,2,East,2077.0,0-3-0-0 Aana,N/A Aana,3 years ago,19500000,Lalitpur,Imadol,12 Feet,Gravelled
6,3,2.5,1,West,2080.0,0-4-2-0 Aana,N/A Sq. Feet,5 days ago,38500000,Kathmandu,Kapan,12 Feet,Concrete
5,4,2.5,1,East,2080.0,0-3-2-0 Aana,N/A Aana,2 months ago,29500000,Kathmandu,Kapan,13 Feet,Concrete
24,22,4.0,3,East,,43 Dhur,16000 Dhur,4 years ago,4500000,Parsa,Birgunj,30 Feet,Blacktopped
5,3,3.0,1,East,,4 Aana,4 Aana,4 years ago,22500000,Kathmandu,Naikap,13 Feet,
5,4,3.0,0,East,,0-7-2-0 Aana,N/A Aana,4 years ago,30000000,Bhaktapur,Kausaltar,15 Feet,Blacktopped
11,0,3.0,0,South,,6 Aana,N/A Ropani,4 years ago,45000000,Kathmandu,Basundhara,14 Feet,
0,3,3.0,4,East,2080.0,4.1 aana Aana,4.1 Aana,3 weeks ago,42500000,Kathmandu,Budhanilkantha,20 Feet,Blacktopped
4,4,2.5,1,East,,0-4-1-0 Aana,2600 Aana,1 year ago,35000000,Kathmandu,Baniyatar,16 Feet,Blacktopped
4,3,3.0,1,South,,0-4-0-0 Aana,N/A Aana,8 months ago,38000000,Kathmandu,Budhanilkantha,16 Feet,Blacktopped
5,6,2.5,1,West,,0-3-2-0 Aana,2810 Sq. Feet,4 weeks ago,50000000,Kathmandu,Ravi Bhawan,32 Feet,Blacktopped
7,5,2.0,3,East,,0-4-3-0 Aana,1625.902 Aana,1 week ago,46000000,Kathmandu,Budhanilkantha,14 Feet,Gravelled
4,0,,2,South,2018.0,7-0-2 Aana,N/A Aana,4 years ago,45000000,Kathmandu,Basbari,20 Feet,Paved
11,0,4.0,2,North,2001.0,5 ana Aana,4ana Aana,4 years ago,30000000,Kathmandu,Samakhusi,13 Feet,Blacktopped
3,4,3.0,1,East,2015.0,0.3.3.3 Aana,18000 Aana,4 years ago,33000000,Kathmandu,Budhanilkantha,20 Feet,Blacktopped
6,5,3.0,3,East,2076.0,0-4-0-0 Aana,N/A Aana,4 years ago,38700000,Kathmandu,Baneshwor,15 Feet,Blacktopped
0,0,,0,South,,4 Aana,N/A Aana,4 years ago,10500000,Bhaktapur,Changunarayan,10 Feet,Blacktopped
0,0,4.0,0,East,,9 Aana,N/A Aana,3 years ago,57500000,Kathmandu,Chabahil,0 Feet,
4,4,3.0,3,East,,0-3-2-0 Aana,1198.033 Sq. Feet,1 week ago,41000000,Kathmandu,Soltimode,0 Feet,
3,3,3.0,1,South,,0-2-2-0 Sq. Feet,N/A Sq. Feet,8 months ago,22500000,Kathmandu,Sitapaila,10 Feet,Gravelled
