Bedroom,Bathroom,Floor,Parking,Property Face,Build Year,Area Covered,Road Access,Build Up Area,Posted Date,Price,District,Location
4,4,3.0,2,East,2078.0,0-3-2-0 Aana,13 Feet / Gravelled,N/A Aana,2 years ago,"NPR. 2,45,00,000 Total price",Lalitpur,Imadol
3,4,,3,East,2072.0,0-4-3-0 Aana,30 Feet / Blacktopped,2500 Aana,4 years ago,"NPR. 3,50,00,000",Bhaktapur,Madhyapur Thimi
4,4,2.5,2,South West,2074.0,0-5-2-2 Aana,20 Feet / Blacktopped,2000 Sq. Feet,2 months ago,"NPR. 4,15,00,000",Kathmandu,Sitapaila
2,1,1.5,2,South West,2076.0,0-4-0-0 Aana,20 Feet / Gravelled,N/A Aana,4 years ago,"NPR. 1,55,00,000 Total price",Kathmandu,Kadaghari
0,0,4.0,0,North,,7 Aana,20 Feet,N/A Aana,4 years ago,"NPR. 5,50,00,000",Kathmandu,Naxal
5,4,3.0,3,East,,0-3-0-0 Aana,13 Feet,1026.886 Sq. Feet,2 days ago,"NPR. 2,55,00,000 Onwards",Lalitpur,Imadol
0,0,,0,North East,,52*52 Haat,6 Meter,N/A Haat,4 years ago,"NPR. 4,80,00,000 Total price",Chitwan,Bharatpur
6,6,2.5,1,West,2080.0,0-4-2-0 Aana,13 Feet / Concrete,N/A Aana,5 days ago,"NPR. 3,80,00,000",Kathmandu,Budhanilkantha
9,4,3.0,3,South,,3 Aana,13 Feet / Blacktopped,N/A Aana,4 years ago,"NPR. 2,25,00,000 Total price",Kathmandu,Samakhusi
0,0,,0,West,,5 Aana,12 Feet / Soil Stabilized,N/A Aana,4 years ago,"NPR. 1,00,00,000 Total price",Lalitpur,Lamatar
15,6,3.0,10,North,2075.0,10 Dhur,20 Feet / Blacktopped,10 Dhur,4 years ago,"NPR. 2,30,00,000",Chitwan,Bharatpur
4,4,3.0,1,West,2080.0,0-5-0-0 Aana,30 Feet / Blacktopped,N/A Aana,2 days ago,"NPR. 4,00,00,000 Onwards",Kathmandu,Budhanilkantha
8,0,,0,North,,0-3-0-1 Aana,13 Feet / Gravelled,N/A Aana,4 years ago,"NPR. 1,65,00,000 Total price",Kathmandu,Gothatar
3,4,2.5,2,West,2074.0,0-3-2-3 Aana,20 Feet / Blacktopped,1526.19 Aana,2 months ago,"NPR. 3,41,00,000",Kathmandu,Sitapaila
5,3,3.0,0,South,,4 Aana,26 Feet / Gravelled,N/A Aana,4 years ago,"NPR. 2,75,00,000 Total price",Kathmandu,Tokha
4,3,,0,South,,3 Aana,12 Feet,N/A Aana,4 years ago,"NPR. 1,65,00,000",Kathmandu,Nag Pokhari
0,0,,0,South,,0-6-3-0 Aana,20 Feet / Gravelled,N/A Aana,4 years ago,"NPR. 3,60,00,000 Total price",Kathmandu,Gothatar
4,2,2.0,2,South,,3.1 Aana,18 Feet,N/A Aana,4 years ago,"NPR. 2,10,00,000",Kathmandu,Swayambhu
0,0,,0,North,,0-3-3-0 Aana,13 Feet / Soil Stabilized,N/A Aana,4 years ago,"NPR. 2,40,00,000 Total price",Kathmandu,Sukedhara
5,4,,0,North,,4 Aana,13 Feet / Blacktopped,N/A Aana,4 years ago,"NPR. 2,60,00,000 Total price",Lalitpur,Bhaisepati
0,0,2.0,0,West,2075.0,1.5 Aana,12 Feet / Gravelled,N/A Aana,3 years ago,"NPR. 95,00,000",Kathmandu,Kirtipur
4,2,2.0,1,West,,0-5-2-2 Aana,0 Feet,2046.64 Aana,3 years ago,"NPR. 2,55,00,000",Kathmandu,Syuchatar
0,0,,0,East,,0-3-1-0 Aana,15 Feet / Blacktopped,N/A Aana,4 years ago,"NPR. 2,35,00,000",Kathmandu,Basundhara
11,0,,0,North,,5 Aana,13 Feet / Blacktopped,N/A Aana,4 years ago,"NPR. 2,98,00,000 Total price",Kathmandu,Sukedhara
3,3,6.0,1,North East,,1380 Sq. Feet,0 Feet,N/A Sq. Feet,3 years ago,"NPR. 1,75,00,000 Total price",Kathmandu,Tokha
4,5,2.5,2,South West,2080.0,0-8-1-0 Aana,20 Feet / Blacktopped,3755 Sq. Feet,2 months ago,"NPR. 6,76,00,000",Kathmandu,Budhanilkantha
7,5,3.0,3,South East,2074.0,6.5 Aana,20 Feet / Gravelled,6.5 Aana,4 years ago,"NPR. 3,70,00,000 Onwards",Pokhara,Ranipauwa
0,0,,0,South,,0-1-3-0 Aana,9 Feet / Blacktopped,N/A Aana,4 years ago,"NPR. 2,50,00,000 Total price",Kathmandu,Kalimati
3,4,3.5,1,North,2078.0,0-6-1-3 Aana,20 Feet / Paved,2900 Sq. Feet,1 year ago,"NPR. 5,36,00,000 Total Price",Kathmandu,Sitapaila
0,0,3.0,0,South East,,3.5 Ropani,13 Feet,N/A Ropani,4 years ago,"NPR. 18,00,00,000",Kathmandu,Maharajgunj
5,4,2.5,2,East,2077.0,0-3-0-0 Aana,12 Feet / Gravelled,N/A Aana,3 years ago,"NPR. 1,95,00,000 Total price",Lalitpur,Imadol
6,3,2.5,1,West,2080.0,0-4-2-0 Aana,12 Feet / Concrete,N/A Sq. Feet,5 days ago,"NPR. 3,85,00,000",Kathmandu,Kapan
5,4,2.5,1,East,2080.0,0-3-2-0 Aana,13 Feet / Concrete,N/A Aana,2 months ago,"NPR. 2,95,00,000",Kathmandu,Kapan
24,22,4.0,3,East,,43 Dhur,30 Feet / Blacktopped,16000 Dhur,4 years ago,"NPR. 45,00,000 Per Dhur",Parsa,Birgunj
5,3,3.0,1,East,,4 Aana,13 Feet,4 Aana,4 years ago,"NPR. 2,25,00,000 Onwards",Kathmandu,Naikap
5,4,3.0,0,East,,0-7-2-0 Aana,15 Feet / Blacktopped,N/A Aana,4 years ago,"NPR. 3,00,00,000",Bhaktapur,Kausaltar
11,0,3.0,0,South,,6 Aana,14 Feet,N/A Ropani,4 years ago,"NPR. 4,50,00,000",Kathmandu,Basundhara
0,3,3.0,4,East,2080.0,4.1 aana Aana,20 Feet / Blacktopped,4.1 Aana,3 weeks ago,"NPR. 4,25,00,000",Kathmandu,Budhanilkantha
4,4,2.5,1,East,,0-4-1-0 Aana,16 Feet / Blacktopped,2600 Aana,1 year ago,"NPR. 3,50,00,000 Onwards",Kathmandu,Baniyatar
4,3,3.0,1,South,,0-4-0-0 Aana,16 Feet / Blacktopped,N/A Aana,8 months ago,"NPR. 3,80,00,000 Total Price",Kathmandu,Budhanilkantha
5,6,2.5,1,West,,0-3-2-0 Aana,32 Feet / Blacktopped,2810 Sq. Feet,4 weeks ago,"NPR. 5,00,00,000 Total Price",Kathmandu,Ravi Bhawan
7,5,2.0,3,East,,0-4-3-0 Aana,14 Feet / Gravelled,1625.902 Aana,1 week ago,"NPR. 4,60,00,000 Onwards",Kathmandu,Budhanilkantha
4,0,,2,South,2018.0,7-0-2 Aana,20 Feet / Paved,N/A Aana,4 years ago,"NPR. 4,50,00,000 Onwards",Kathmandu,Basbari
11,0,4.0,2,North,2001.0,5 ana Aana,13 Feet / Blacktopped,4ana Aana,4 years ago,"NPR. 3,00,00,000",Kathmandu,Samakhusi
3,4,3.0,1,East,2015.0,0.3.3.3 Aana,20 Feet / Blacktopped,18000 Aana,4 years ago,"NPR. 3,30,00,000 Onwards",Kathmandu,Budhanilkantha
6,5,3.0,3,East,2076.0,0-4-0-0 Aana,15 Feet / Blacktopped,N/A Aana,4 years ago,"NPR. 3,87,00,000 Total price",Kathmandu,Baneshwor
0,0,,0,South,,4 Aana,10 Feet / Blacktopped,N/A Aana,4 years ago,"NPR. 1,05,00,000 Total price",Bhaktapur,Changunarayan
0,0,4.0,0,East,,9 Aana,0 Feet,N/A Aana,3 years ago,"NPR. 5,75,00,000",Kathmandu,Chabahil
4,4,3.0,3,East,,0-3-2-0 Aana,0 Feet,1198.033 Sq. Feet,1 week ago,"NPR. 4,10,00,000 Onwards",Kathmandu,Soltimode
3,3,3.0,1,South,,0-2-2-0 Sq. Feet,10 Feet / Gravelled,N/A Sq. Feet,8 months ago,"NPR. 2,25,00,000 Total Price",Kathmandu,Sitapaila
6,5,4.0,0,South West,,0-6-1-0 Sq. Feet,13 Feet,N/A Sq. Feet,4 years ago,"NPR. 3,75,00,000",Lalitpur,Khumaltar
4,0,,0,South,,2.5 Aana,10 Feet,N/A Aana,4 years ago,"NPR. 85,00,000 Total price",Kathmandu,Tarkeshwor
0,0,,0,North,,9 Dhur,20 Feet / Blacktopped,N/A Dhur,4 years ago,"NPR. 1,50,00,000 Total price",Sunsari,Itahari
0,0,3.0,0,West,,5 Aana,0 Feet,N/A Aana,4 years ago,"NPR. 5,25,00,000",Kathmandu,Baneshwor
