Address,Bedroom,Bathroom,Floor,Parking,Property Face,Build Year,Area Covered,Road Access,Build Up Area,Posted Date,Price
"Sital Height, Imadol, Imadol, Lalitpur",4,4,3,1,East,2078,0-3-0-0 Aana,13 Feet / Gravelled,N/A Aana,2 years ago,"NPR. 2,15,00,000 Total price"
"Budhanilkantha, Kathmandu, Budhanilkantha, Kathmandu",5,5,2.5,1,North,2077,0-5-0-0 Aana,14 Feet / Concrete,2759 Aana,3 years ago,"NPR. 4,60,00,000 Total price"
"Budhanilkantha, Budhanilkantha, Kathmandu",4,5,2.5,2,South West,2080,0-8-2-0 Aana,20 Feet / Blacktopped,3246 Sq. Feet,2 months ago,"NPR. 6,56,00,000"
"HERALD INTERNATIONAL COLLEGE  H.S.S., Basundhara, Kathmandu",0,0,,0,North,,0-3-5-0 Aana,13 Feet / Blacktopped,N/A Aana,4 years ago,"NPR. 1,95,00,000 Total price"
"Nearby, Buddha party palace, Tikathali, Lalitpur",2,1,1.5,1,South,2076,0-2-3-2 Aana,13 Feet / Gravelled,N/A Aana,4 years ago,"NPR. 1,15,00,000 Total price"
"Sital Height, Imadol, Imadol, Lalitpur",4,4,3,2,East,2078,0-3-2-0 Aana,13 Feet / Gravelled,N/A Aana,2 years ago,"NPR. 2,45,00,000 Total price"
"Rose Village Balkot, Madhyapur Thimi, Bhaktapur",3,4,,3,East,2072,0-4-3-0 Aana,30 Feet / Blacktopped,2500 Aana,4 years ago,"NPR. 3,50,00,000"
"RAMKOT, Sitapaila, Kathmandu",4,4,2.5,2,South West,2074,0-5-2-2 Aana,20 Feet / Blacktopped,2000 Sq. Feet,2 months ago,"NPR. 4,15,00,000"
"Birendrachwok, Planning, Kadaghari, Kathmandu",2,1,1.5,2,South West,2076,0-4-0-0 Aana,20 Feet / Gravelled,N/A Aana,4 years ago,"NPR. 1,55,00,000 Total price"
"Gahana, Pokhari, Naxal, Kathmandu",0,0,4,0,North,,7 Aana,20 Feet,N/A Aana,4 years ago,"NPR. 5,50,00,000"
"Imadol, Imadol, Lalitpur",5,4,3,3,East,,0-3-0-0 Aana,13 Feet,1026.886 Sq. Feet,2 days ago,"NPR. 2,55,00,000 Onwards"
"Narayanghat, Bharatpur, Chitwan",0,0,,0,North East,,52*52 Haat,6 Meter,N/A Haat,4 years ago,"NPR. 4,80,00,000 Total price"
"Sundarbasti, Budhanilkantha, Budhanilkantha, Kathmandu",6,6,2.5,1,West,2080,0-4-2-0 Aana,13 Feet / Concrete,N/A Aana,5 days ago,"NPR. 3,80,00,000"
"Samakhusi Kharibot, Samakhusi, Kathmandu",9,4,3,3,South,,3 Aana,13 Feet / Blacktopped,N/A Aana,4 years ago,"NPR. 2,25,00,000 Total price"
"Lamatar, Lamatar, Lalitpur",0,0,,0,West,,5 Aana,12 Feet / Soil Stabilized,N/A Aana,4 years ago,"NPR. 1,00,00,000 Total price"
"Bharatpur, Bharatpur, Chitwan",15,6,3,10,North,2075,10 Dhur,20 Feet / Blacktopped,10 Dhur,4 years ago,"NPR. 2,30,00,000"
"Bhangal, Budhanilkantha, Kathmandu",4,4,3,1,West,2080,0-5-0-0 Aana,30 Feet / Blacktopped,N/A Aana,2 days ago,"NPR. 4,00,00,000 Onwards"
"Gothatar, Gothatar, Kathmandu",8,0,,0,North,,0-3-0-1 Aana,13 Feet / Gravelled,N/A Aana,4 years ago,"NPR. 1,65,00,000 Total price"
