Bedroom,Bathroom,Floor,Parking,Property Face,Build Year,Area Covered,Build Up Area,Posted Date,Price,District,Location,Road Distance,Type of Road
2,1,1.0,3,East,,0-3-2-0 Aana,1198.033 Sq. Feet,2 days ago,17000000,Lalitpur,Tikathali,13,Blacktopped
6,3,3.0,2,East,2069.0,0-3-0-0 Aana,N/A Aana,3 years ago,19000000,Kathmandu,Boudha,8,Blacktopped
0,0,,0,West,,10 Dhur,N/A Dhur,4 years ago,10000000,Dharan,Dharan,15,Blacktopped
6,3,2.5,1,West,2080.0,0-3-0-0 Aana,N/A Aana,1 day ago,26000000,Lalitpur,Tikathali,13,Concrete
5,4,3.0,3,South,2078.0,0-3-2-0 Aana,2267 Aana,2 years ago,32500000,Kathmandu,Thulo Bharyang,13,Paved
9,0,3.0,0,South East,,3.5 Aana,N/A Aana,4 years ago,19800000,Kathmandu,Basundhara,12,Gravelled
8,3,,0,South,,0-3-0-0 Aana,N/A Aana,4 years ago,17000000,Lalitpur,Tikathali,13,Blacktopped
4,4,3.0,2,North East,2019.0,5 Aana,N/A Aana,4 years ago,30500000,Kathmandu,Budhanilkantha,15,Blacktopped
0,0,,0,East,,0-2-2-2 Aana,N/A Aana,4 years ago,8500000,Bhaktapur,Madhyapur Thimi,26,Soil Stabilized
5,5,3.0,1,South East,2080.0,0-4-2-0 Aana,2400 Aana,11 months ago,38500000,Kathmandu,Budhanilkantha,13,Gravelled
0,0,3.5,0,North,2065.0,0-6-2-0 Aana,4000 Aana,4 years ago,150000000,Kathmandu,Naxal,20,
7,6,,0,South West,,14 Aana,N/A Aana,4 years ago,72500000,Kathmandu,Basundhara,20,
5,5,3.0,1,North East,2080.0,0-4-0-2 Aana,2400 Sq. Feet,11 months ago,38500000,Kathmandu,Budhanilkantha,13,Gravelled
4,3,3.0,0,South,,0-2-2-0 Aana,N/A Aana,4 years ago,15000000,Lalitpur,Imadol,13,Gravelled
9,4,4.0,0,East,,6.3 Aana,N/A Aana,4 years ago,34500000,Kathmandu,Sukedhara,12,
2,1,2.0,1,East,2073.0,0-3-1-0 Aana,730 Sq. Feet,2 years ago,18000000,Kathmandu,Gothatar,13,Blacktopped
4,4,3.0,1,East,2078.0,0-3-0-0 Aana,N/A Aana,2 years ago,21500000,Lalitpur,Imadol,13,Gravelled
5,5,2.5,1,North,2077.0,0-5-0-0 Aana,2759 Aana,3 years ago,46000000,Kathmandu,Budhanilkantha,14,Concrete
4,5,2.5,2,South West,2080.0,0-8-2-0 Aana,3246 Sq. Feet,2 months ago,65600000,Kathmandu,Budhanilkantha,20,Blacktopped
0,0,,0,North,,0-3-5-0 Aana,N/A Aana,4 years ago,19500000,Kathmandu,Basundhara,13,Blacktopped
2,1,1.5,1,South,2076.0,0-2-3-2 Aana,N/A Aana,4 years ago,11500000,Lalitpur,Tikathali,13,Gravelled
4,4,3.0,2,East,2078.0,0-3-2-0 Aana,N/A Aana,2 years ago,24500000,Lalitpur,Imadol,13,Gravelled
3,4,,3,East,2072.0,0-4-3-0 Aana,2500 Aana,4 years ago,35000000,Bhaktapur,Madhyapur Thimi,30,Blacktopped
4,4,2.5,2,South West,2074.0,0-5-2-2 Aana,2000 Sq. Feet,2 months ago,41500000,Kathmandu,Sitapaila,20,Blacktopped
2,1,1.5,2,South West,2076.0,0-4-0-0 Aana,N/A Aana,4 years ago,15500000,Kathmandu,Kadaghari,20,Gravelled
0,0,4.0,0,North,,7 Aana,N/A Aana,4 years ago,55000000,Kathmandu,Naxal,20,
5,4,3.0,3,East,,0-3-0-0 Aana,1026.886 Sq. Feet,2 days ago,25500000,Lalitpur,Imadol,13,
0,0,,0,North East,,52*52 Haat,N/A Haat,4 years ago,48000000,Chitwan,Bharatpur,20,
6,6,2.5,1,West,2080.0,0-4-2-0 Aana,N/A Aana,5 days ago,38000000,Kathmandu,Budhanilkantha,13,Concrete
9,4,3.0,3,South,,3 Aana,N/A Aana,4 years ago,22500000,Kathmandu,Samakhusi,13,Blacktopped
0,0,,0,West,,5 Aana,N/A Aana,4 years ago,10000000,Lalitpur,Lamatar,12,Soil Stabilized
15,6,3.0,10,North,2075.0,10 Dhur,10 Dhur,4 years ago,23000000,Chitwan,Bharatpur,20,Blacktopped
4,4,3.0,1,West,2080.0,0-5-0-0 Aana,N/A Aana,2 days ago,40000000,Kathmandu,Budhanilkantha,30,Blacktopped
8,0,,0,North,,0-3-0-1 Aana,N/A Aana,4 years ago,16500000,Kathmandu,Gothatar,13,Gravelled
3,4,2.5,2,West,2074.0,0-3-2-3 Aana,1526.19 Aana,2 months ago,34100000,Kathmandu,Sitapaila,20,Blacktopped
5,3,3.0,0,South,,4 Aana,N/A Aana,4 years ago,27500000,Kathmandu,Tokha,26,Gravelled
4,3,,0,South,,3 Aana,N/A Aana,4 years ago,16500000,Kathmandu,Nag Pokhari,12,
0,0,,0,South,,0-6-3-0 Aana,N/A Aana,4 years ago,36000000,Kathmandu,Gothatar,20,Gravelled
4,2,2.0,2,South,,3.1 Aana,N/A Aana,4 years ago,21000000,Kathmandu,Swayambhu,18,
0,0,,0,North,,0-3-3-0 Aana,N/A Aana,4 years ago,24000000,Kathmandu,Sukedhara,13,Soil Stabilized
5,4,,0,North,,4 Aana,N/A Aana,4 years ago,26000000,Lalitpur,Bhaisepati,13,Blacktopped
0,0,2.0,0,West,2075.0,1.5 Aana,N/A Aana,3 years ago,9500000,Kathmandu,Kirtipur,12,Gravelled
4,2,2.0,1,West,,0-5-2-2 Aana,2046.64 Aana,3 years ago,25500000,Kathmandu,Syuchatar,0,
0,0,,0,East,,0-3-1-0 Aana,N/A Aana,4 years ago,23500000,Kathmandu,Basundhara,15,Blacktopped
11,0,,0,North,,5 Aana,N/A Aana,4 years ago,29800000,Kathmandu,Sukedhara,13,Blacktopped
3,3,6.0,1,North East,,1380 Sq. Feet,N/A Sq. Feet,3 years ago,17500000,Kathmandu,Tokha,0,
4,5,2.5,2,South West,2080.0,0-8-1-0 Aana,3755 Sq. Feet,2 months ago,67600000,Kathmandu,Budhanilkantha,20,Blacktopped
7,5,3.0,3,South East,2074.0,6.5 Aana,6.5 Aana,4 years ago,37000000,Pokhara,Ranipauwa,20,Gravelled
0,0,,0,South,,0-1-3-0 Aana,N/A Aana,4 years ago,25000000,Kathmandu,Kalimati,9,Blacktopped
3,4,3.5,1,North,2078.0,0-6-1-3 Aana,2900 Sq. Feet,1 year ago,53600000,Kathmandu,Sitapaila,20,Paved
0,0,3.0,0,South East,,3.5 Ropani,N/A Ropani,4 years ago,180000000,Kathmandu,Maharajgunj,13,
5,4,2.5,2,East,2077.0,0-3-0-0 Aana,N/A Aana,3 years ago,19500000,Lalitpur,Imadol,12,Gravelled
6,3,2.5,1,West,2080.0,0-4-2-0 Aana,N/A Sq. Feet,5 days ago,38500000,Kathmandu,Kapan,12,Concrete
5,4,2.5,1,East,2080.0,0-3-2-0 Aana,N/A Aana,2 months ago,29500000,Kathmandu,Kapan,13,Concrete
24,22,4.0,3,East,,43 Dhur,16000 Dhur,4 years ago,4500000,Parsa,Birgunj,30,Blacktopped
5,3,3.0,1,East,,4 Aana,4 Aana,4 years ago,22500000,Kathmandu,Naikap,13,
5,4,3.0,0,East,,0-7-2-0 Aana,N/A Aana,4 years ago,30000000,Bhaktapur,Kausaltar,15,Blacktopped
11,0,3.0,0,South,,6 Aana,N/A Ropani,4 years ago,45000000,Kathmandu,Basundhara,14,
0,3,3.0,4,East,2080.0,4.1 aana Aana,4.1 Aana,3 weeks ago,42500000,Kathmandu,Budhanilkantha,20,Blacktopped
4,4,2.5,1,East,,0-4-1-0 Aana,2600 Aana,1 year ago,35000000,Kathmandu,Baniyatar,16,Blacktopped
4,3,3.0,1,South,,0-4-0-0 Aana,N/A Aana,8 months ago,38000000,Kathmandu,Budhanilkantha,16,Blacktopped
5,6,2.5,1,West,,0-3-2-0 Aana,2810 Sq. Feet,4 weeks ago,50000000,Kathmandu,Ravi Bhawan,32,Blacktopped
7,5,2.0,3,East,,0-4-3-0 Aana,1625.902 Aana,1 week ago,46000000,Kathmandu,Budhanilkantha,14,Gravelled
4,0,,2,South,2018.0,7-0-2 Aana,N/A Aana,4 years ago,45000000,Kathmandu,Basbari,20,Paved
11,0,4.0,2,North,2001.0,5 ana Aana,4ana Aana,4 years ago,30000000,Kathmandu,Samakhusi,13,Blacktopped
3,4,3.0,1,East,2015.0,0.3.3.3 Aana,18000 Aana,4 years ago,33000000,Kathmandu,Budhanilkantha,20,Blacktopped
6,5,3.0,3,East,2076.0,0-4-0-0 Aana,N/A Aana,4 years ago,38700000,Kathmandu,Baneshwor,15,Blacktopped
0,0,,0,South,,4 Aana,N/A Aana,4 years ago,10500000,Bhaktapur,Changunarayan,10,Blacktopped
0,0,4.0,0,East,,9 Aana,N/A Aana,3 years ago,57500000,Kathmandu,Chabahil,0,
4,4,3.0,3,East,,0-3-2-0 Aana,1198.033 Sq. Feet,1 week ago,41000000,Kathmandu,Soltimode,0,
3,3,3.0,1,South,,0-2-2-0 Sq. Feet,N/A Sq. Feet,8 months ago,22500000,Kathmandu,Sitapaila,10,Gravelled
6,5,4.0,0,South West,,0-6-1-0 Sq. Feet,N/A Sq. Feet,4 years ago,37500000,Lalitpur,Khumaltar,13,
4,0,,0,South,,2.5 Aana,N/A Aana,4 years ago,8500000,Kathmandu,Tarkeshwor,10,
0,0,,0,North,,9 Dhur,N/A Dhur,4 years ago,15000000,Sunsari,Itahari,20,Blacktopped
0,0,3.0,0,West,,5 Aana,N/A Aana,4 years ago,52500000,Kathmandu,Baneshwor,0,
3,3,2.5,2,West,2074.0,0-4-0-0 Aana,1744.78 Sq. Feet,2 months ago,34650000,Kathmandu,Sitapaila,20,Blacktopped
6,5,3.0,2,North,2078.0,0-4-0-0 Aana,2400 Sq. Feet,2 years ago,37500000,Kathmandu,Budhanilkantha,13,Gravelled
4,4,2.5,2,West,2074.0,0-3-2-0 Aana,1740.76 Aana,2 months ago,34650000,Kathmandu,Sitapaila,20,Blacktopped
5,0,3.0,0,North East,,4.1.1 Aana,N/A Aana,4 years ago,28500000,Kathmandu,Golfutar,12,Gravelled
5,5,3.0,2,South,,0-3-0-3 Aana,1091.147 Sq. Feet,2 days ago,31500000,Lalitpur,Imadol,13,Paved
0,0,3.0,0,West,,4 Aana,N/A Aana,4 years ago,17500000,Kathmandu,Pasikot,16,
6,4,3.0,1,South West,,0-5-0-0 Aana,N/A Aana,1 month ago,37000000,Kathmandu,Kapan,20,Blacktopped
6,3,3.0,1,East,2076.0,0-3-2-0 Ropani,2100 Ropani,4 years ago,22500000,Lalitpur,Tikathali,12,Blacktopped
