Bedroom,Bathroom,Floor,Parking,Property Face,Build Year,Area Covered,Road Access,Build Up Area,Posted Date,Price,District,Location
5,3,,0,North East,2080.0,3 Aana,12 Feet / Paved,N/A Aana,6 months ago,"NPR. 3,25,00,000 Onwards",Kathmandu,Thulo Bharyang
6,5,3.0,1,South,,3-2 Aana,13 Feet,N/A Aana,1 week ago,"NPR. 3,55,00,000 Onwards",Lalitpur,Imadol
0,0,,0,West,,0-4-0-0 Aana,0 Feet,N/A Sq. Feet,2 years ago,"NPR. 2,25,00,000",Bhaktapur,Suryabinayak
4,4,,1,South,,3 Aana,13 Feet / Paved,N/A Aana,1 week ago,"NPR. 2,65,00,000 Onwards",Lalitpur,Imadol
4,4,2.0,2,West,2080.0,4 Aana,20 Feet / Paved,00 Aana,3 months ago,"NPR. 3,50,00,000 Onwards",Lalitpur,Bhaisepati
0,2,2.5,1,North West,2079.0,3 Aana,13 Feet / Paved,N/A Sq. Feet,3 months ago,"NPR. 3,40,00,000 Total Price",Kathmandu,Thulo Bharyang
5,3,2.5,1,South,2080.0,0-5-1-1.20 Aana,20 Feet / Blacktopped,"2,148.49 Aana",2 months ago,"NPR. 4,27,00,000",Lalitpur,Sunakothi
0,0,,0,West,,0-4-0-0 Aana,13 Feet / Gravelled,N/A Sq. Feet,3 years ago,"NPR. 1,70,00,000",Bhaktapur,Bhaktapur
3,2,2.5,2,South,2070.0,0-3-0-0 Aana,20 Feet / Paved,N/A Aana,3 years ago,"NPR. 1,90,00,000",Lalitpur,Thaiba
0,0,,0,East,,0-3-0-0 Aana,0 Feet,N/A Sq. Feet,2 years ago,"NPR. 1,20,00,000",Bhaktapur,Bhaktapur
6,3,3.0,1,East,2068.0,0-5-2-0 Aana,12 Feet / Blacktopped,2764.5 Aana,3 years ago,"NPR. 3,10,00,000 Onwards",Lalitpur,Imadol
6,5,2.0,2,East,,0-4-0-2 Aana,15 Feet / Gravelled,1412.022 Sq. Feet,1 day ago,"NPR. 3,65,00,000 Onwards",Kathmandu,Budhanilkantha
5,5,,1,South East,2080.0,3.5 Aana,16 Feet,3000 Sq. Feet,1 month ago,"NPR. 4,50,00,000 Onwards",Lalitpur,Sano Gaun
0,0,3.0,2,South West,2080.0,5 aana 1 paisa Aana,16 Feet / Paved,0 Aana,1 month ago,"NPR. 5,50,00,000",Lalitpur,Imadol
