Bedroom,Bathroom,Floor,Parking,Property Face,Build Year,Area Covered,Build Up Area,Posted Date,Price,District,Location,Road Distance,Type of Road
0,0,,0,East,,0-4-0-0 Aana,N/A Sq. Feet,2 years ago,40000000,Bhaktapur,Gatthaghar,15 Feet,
5,4,,1,West,,0-3-0-0 Aana,2670 Sq. Feet,2 months ago,38500000,Lalitpur,Jwagal,16 Feet,
4,4,2.5,1,South,2080.0,0-3-0-0 Aana,N/A Sq. Feet,4 days ago,25200000,Lalitpur,Tikathali,13 Feet,Concrete
4,4,3.0,1,North,2078.0,0-3-2-0 Aana,2300 Sq. Feet,2 years ago,31500000,Lalitpur,Imadol,13 Feet,Gravelled
4,4,2.0,3,West,,0-3-1-1 Aana,1133.880 Sq. Feet,2 weeks ago,24500000,Lalitpur,Imadol,13 Feet,Gravelled
0,0,5.0,0,South,2075.0,0-6-2-0 Aana,7500 Sq. Feet,4 years ago,75000000,Bhaktapur,Gatthaghar,20 Feet,Blacktopped
5,5,3.0,3,East,2012.0,0-9-0-0 Aana,N/A Aana,5 years ago,60000000,Lalitpur,Khumaltar,13 Feet,
10,10,4.0,2,East,2078.0,0-8.52-0-0 Aana,0-4-0-0 Aana,5 months ago,120000000,Kathmandu,Dallu,13 Feet,Blacktopped
6,4,,2,North East,,0-5-1-0 Aana,2950 Sq. Feet,6 months ago,68000000,Kathmandu,Sinamangal,12 Feet,
4,4,2.0,2,South,,0-2-3-0 Aana,941.312 Sq. Feet,3 days ago,23500000,Lalitpur,Imadol,13 Feet,Paved
7,7,,1,North,2079.0,0-3-0-0 Aana,2790 Sq. Feet,1 week ago,45000000,Lalitpur,Imadol,13 Feet,
0,0,,0,West,,0-5-0-0 Aana,N/A Sq. Feet,2 years ago,24000000,Bhaktapur,Duwakot,13 Feet,
0,0,,0,East,,0-4-0-0 Aana,N/A Sq. Feet,2 years ago,21500000,Bhaktapur,Balkot,13 Feet,
5,4,3.0,2,North,,0-4-0-0 Aana,N/A Aana,2 weeks ago,35000000,Lalitpur,Tikathali,13 Feet,Paved
0,0,4.0,0,South West,,0-5-2-1 Aana,N/A Aana,4 months ago,60000000,Kathmandu,Kalanki,20 Feet,Blacktopped
5,3,,1,North East,2069.0,4 Aana,N/A Aana,6 months ago,27500000,Kathmandu,Chhauni,12 Feet,Paved
6,4,3.0,1,South,2070.0,4 Aana,3000 Sq. Feet,3 years ago,32500000,Bhaktapur,Kausaltar,20 Feet,Gravelled
4,4,3.0,2,East,2080.0,3 Aana,0 Aana,1 month ago,27500000,Lalitpur,Imadol,13 Feet,Gravelled
2,1,1.0,2,North East,2080.0,3 aana 2 paisa Aana,0 Aana,1 month ago,18000000,Lalitpur,Tikathali,13 Feet,Gravelled
5,3,,0,North East,2080.0,3 Aana,N/A Aana,6 months ago,32500000,Kathmandu,Thulo Bharyang,12 Feet,Paved
6,5,3.0,1,South,,3-2 Aana,N/A Aana,1 week ago,35500000,Lalitpur,Imadol,13 Feet,
0,0,,0,West,,0-4-0-0 Aana,N/A Sq. Feet,2 years ago,22500000,Bhaktapur,Suryabinayak,0 Feet,
4,4,,1,South,,3 Aana,N/A Aana,1 week ago,26500000,Lalitpur,Imadol,13 Feet,Paved
