Bedroom,Bathroom,Floor,Parking,Property Face,Build Year,Area Covered,Build Up Area,Posted Date,Price,District,Location,Road Distance,Type of Road
5,5,3.0,3,East,2012.0,0-9-0-0 Aana,N/A Aana,5 years ago,60000000,Lalitpur,Khumaltar,13,
6,4,,2,North East,,0-5-1-0 Aana,2950 Sq. Feet,6 months ago,68000000,Kathmandu,Sinamangal,12,
4,4,2.0,2,South,,0-2-3-0 Aana,941.312 Sq. Feet,3 days ago,23500000,Lalitpur,Imadol,13,Paved
7,7,,1,North,2079.0,0-3-0-0 Aana,2790 Sq. Feet,1 week ago,45000000,Lalitpur,Imadol,13,
0,0,,0,West,,0-5-0-0 Aana,N/A Sq. Feet,2 years ago,24000000,Bhaktapur,Duwakot,13,
0,0,,0,East,,0-4-0-0 Aana,N/A Sq. Feet,2 years ago,21500000,Bhaktapur,Balkot,13,
5,4,3.0,2,North,,0-4-0-0 Aana,N/A Aana,2 weeks ago,35000000,Lalitpur,Tikathali,13,Paved
0,0,4.0,0,South West,,0-5-2-1 Aana,N/A Aana,4 months ago,60000000,Kathmandu,Kalanki,20,Blacktopped
0,0,,0,West,,0-4-0-0 Aana,N/A Sq. Feet,2 years ago,22500000,Bhaktapur,Suryabinayak,0,
5,3,2.5,1,South,2080.0,0-5-1-1.20 Aana,"2,148.49 Aana",2 months ago,42700000,Lalitpur,Sunakothi,20,Blacktopped
0,0,,0,West,,0-4-0-0 Aana,N/A Sq. Feet,3 years ago,17000000,Bhaktapur,Bhaktapur,13,Gravelled
3,2,2.5,2,South,2070.0,0-3-0-0 Aana,N/A Aana,3 years ago,19000000,Lalitpur,Thaiba,20,Paved
0,0,,0,East,,0-3-0-0 Aana,N/A Sq. Feet,2 years ago,12000000,Bhaktapur,Bhaktapur,0,
6,3,3.0,1,East,2068.0,0-5-2-0 Aana,2764.5 Aana,3 years ago,31000000,Lalitpur,Imadol,12,Blacktopped
6,5,2.0,2,East,,0-4-0-2 Aana,1412.022 Sq. Feet,1 day ago,36500000,Kathmandu,Budhanilkantha,15,Gravelled
3,2,,1,South,2075.0,0-4-1-0 Aana,890 Aana,5 years ago,29000000,Lalitpur,Bhaisepati,15,
4,3,2.5,1,North East,,0-4-2-3 Aana,2200 Aana,5 months ago,51000000,Kathmandu,Budhanilkantha,20,Blacktopped
3,3,3.0,1,West,,0-3-1-1 Aana,N/A Aana,11 months ago,20000000,Bhaktapur,Madhyapur Thimi,20,
0,0,,0,East,,0-3-0-0 Aana,N/A Aana,2 years ago,11500000,Bhaktapur,Duwakot,0,
0,0,,0,West,,0-8-0-0 Aana,N/A Sq. Feet,3 years ago,28500000,Bhaktapur,Sirutar,13,
6,7,2.0,5,West,,0-4-2-0 Aana,1540.328 Sq. Feet,2 weeks ago,41500000,Lalitpur,Khumaltar,13,Blacktopped
4,3,3.0,1,South East,2022.0,0-3-0-0 Aana,1600 Sq. Feet,2 years ago,20000000,Bhaktapur,Bhaktapur,20,Blacktopped
4,3,3.0,1,South,2080.0,0-3-1-0 Aana,N/A Aana,1 week ago,26500000,Lalitpur,Mahalaxmisthan,13,Paved
5,5,2.0,3,East,,0-3-1-2 Aana,1155.300 Sq. Feet,2 weeks ago,35555555,Lalitpur,Imadol,13,Gravelled
6,6,3.0,1,North,2080.0,0-3-3-0 Aana,N/A Aana,2 months ago,29000000,Lalitpur,Imadol,13,Concrete
5,4,3.0,1,East,,0-10-0-1.84 Aana,N/A Aana,10 months ago,28000000,Bhaktapur,Lokanthali,12,Concrete
13,6,4.5,1,North,2067.0,0-4-0-0 Aana,N/A Aana,3 years ago,35000000,Lalitpur,Imadol,15,Blacktopped
0,0,,0,West,2064.0,0-2-2-0 Aana,N/A Sq. Feet,2 years ago,15000000,Bhaktapur,Sallaghari,9,
9,5,3.0,3,East,2060.0,0-10-0-0 Aana,0-6-0-0 Aana,3 years ago,62500000,Lalitpur,Manbhawan,13,Blacktopped
5,3,2.5,1,South,2080.0,0-4-3-1.40 Aana,"2,148.49 Aana",2 months ago,40300000,Lalitpur,Sunakothi,20,Blacktopped
5,6,3.0,4,South East,,0-4-0-0 Aana,1369.181 Sq. Feet,1 week ago,39500000,Lalitpur,Imadol,13,Paved
8,5,4.0,2,South,2078.0,0-4-0-0 Aana,2600 Aana,2 years ago,33500000,Lalitpur,Imadol,13,Gravelled
2,2,2.0,1,West,,0-5-1-0 Aana,0-3-0-0 Aana,1 year ago,15000000,Bhaktapur,Dadikot,4,
5,4,2.0,4,South,,0-3-0-0 Aana,1026.886 Sq. Feet,1 week ago,21500000,Bhaktapur,Bhaktapur,13,Gravelled
5,4,2.5,1,East,2074.0,0-3-2-0 Aana,N/A Aana,3 months ago,33000000,Kathmandu,Swayambhu,13,Concrete
5,5,3.0,1,South,,0-3-1-0 Aana,N/A Aana,1 week ago,26500000,Lalitpur,Imadol,13,
0,0,,0,East,,0-3-2-0 Aana,N/A Sq. Feet,2 years ago,14500000,Bhaktapur,Sirutar,12,
5,4,2.0,4,North,,0-4-0-0 Aana,1369.181 Sq. Feet,1 week ago,35000000,Bhaktapur,Bhaktapur,13,Gravelled
0,13,5.0,12,South East,2073.0,0-11-0-0 Aana,11000 Sq. Feet,5 years ago,110000000,Kathmandu,Pepsicola,23,
4,3,2.5,1,South,2073.0,0-3-0-0 Aana,1003 Aana,3 years ago,20000000,Lalitpur,Sovahity,10,Concrete
9,5,2.0,11,East,2015.0,10-1-0-0 Aana,2000 Sq. Feet,3 years ago,230000001,Lalitpur,Lamatar,14,Paved
0,0,1.0,0,East,,0-2-3-0 Aana,N/A Sq. Feet,3 years ago,11800000,Bhaktapur,Sipadol,13,Gravelled
0,0,,0,East,,0-4-0-0 Aana,N/A Sq. Feet,2 years ago,11000000,Bhaktapur,Bhaktapur,10,
0,0,,0,West,,0-3-1-2 Aana,N/A Sq. Feet,3 years ago,15000000,Bhaktapur,Duwakot,12,
0,0,,0,East,,0-8-0-0 Aana,N/A Aana,3 years ago,28500000,Bhaktapur,Sirutar,13,
5,4,2.5,1,West,2080.0,0-3-0-0 Aana,N/A Sq. Feet,2 months ago,28500000,Lalitpur,Imadol,13,Concrete
0,0,,0,West,,0-3-0-0 Aana,N/A Aana,3 years ago,11000000,Bhaktapur,Suryabinayak,20,Gravelled
5,4,2.5,1,South,,0-4-0-1 Aana,N/A Aana,3 months ago,37000000,Kathmandu,Sitapaila,10,Gravelled
5,3,2.5,1,South,2080.0,0-4-1-1.80 Aana,"1,980.28 Aana",2 months ago,36700000,Lalitpur,Sunakothi,20,Blacktopped
3,3,2.0,3,East,,0-3-0-0 Aana,1026.886 Sq. Feet,1 week ago,39500000,Lalitpur,Kupondole,18,Blacktopped
0,0,,0,East,,0-4-0-0 Aana,N/A Sq. Feet,3 years ago,2600000,Bhaktapur,Changunarayan,20,Gravelled
6,5,,1,South,2080.0,0-3-0-0 Aana,2780 Sq. Feet,2 months ago,28000000,Lalitpur,Imadol,13,
0,0,,0,West,,0-3-1-0 Aana,N/A Sq. Feet,3 years ago,13000000,Bhaktapur,Suryabinayak,13,Gravelled
2,1,1.0,1,South,,0-3-2-0 Aana,0 Aana,2 months ago,16000000,Lalitpur,Imadol,13,
7,3,3.0,1,East,2076.0,0-3-2-0 Aana,2100 Sq. Feet,4 years ago,22500000,Bhaktapur,Sipadol,10,Gravelled
0,0,,0,East,,0-4-2-0 Aana,N/A Sq. Feet,2 years ago,10000000,Bhaktapur,Suryabinayak,0,
4,3,,1,North East,2074.0,0-4-0-0 Aana,2200 Aana,2 months ago,36500000,Lalitpur,Bhaisepati,13,
4,4,3.0,1,North,2078.0,0-3-0-0 Aana,2250 Aana,2 years ago,23500000,Lalitpur,Imadol,13,Gravelled
5,4,3.0,1,South,2080.0,0-3-1-0 Aana,N/A Aana,2 months ago,29900000,Lalitpur,Imadol,13,Concrete
0,0,,0,East,,0-3-0-0 Sq. Feet,N/A Sq. Feet,2 years ago,11500000,Bhaktapur,Duwakot,12,
6,5,2.0,3,South East,,0-4-1-0 Aana,1454.755 Sq. Feet,1 day ago,38500000,Kathmandu,Budhanilkantha,18,Gravelled
4,4,,1,North,2080.0,0-4-0-2 Aana,N/A Sq. Feet,3 months ago,37500000,Kathmandu,Sano Bharyang,20,Gravelled
7,4,2.5,1,South,,0-3-1-0 Aana,N/A Sq. Feet,3 months ago,27000000,Lalitpur,Imadol,20,Gravelled
7,3,3.0,1,North West,2069.0,0-3-3-2 Aana,N/A Aana,8 months ago,21500000,Bhaktapur,Suryabinayak,11,Blacktopped
6,6,3.5,1,North East,2080.0,0-3-2-0 Aana,N/A Sq. Feet,4 days ago,29500000,Lalitpur,Imadol,13,Concrete
5,9,2.0,4,East,,0-7-0-0 Aana,3500 Sq. Feet,3 years ago,70000000,Bhaktapur,Balkot,14,
5,3,3.0,4,North East,,0-17-0-0 Aana,5819.018 Sq. Feet,2 weeks ago,140000000,Lalitpur,Bhaisepati,20,Blacktopped
2,3,3.0,1,North East,2073.0,0-3-3-3 Aana,2300 Aana,2 years ago,27000000,Lalitpur,Imadol,13,Gravelled
0,0,,0,West,,0-6-0-0 Aana,N/A Sq. Feet,3 years ago,11000000,Bhaktapur,Bhaktapur,18,Gravelled
0,0,,0,West,,0-3-0-0 Aana,N/A Sq. Feet,3 years ago,14000000,Bhaktapur,Kharipati,20,Gravelled
4,4,2.0,3,North,,0-2-2-0 Aana,855.738 Sq. Feet,4 days ago,22000000,Lalitpur,Imadol,13,Paved
0,0,,0,West,,0-3-2-0 Aana,N/A Sq. Feet,3 years ago,17500000,Bhaktapur,Suryabinayak,13,
7,4,,2,South East,,0-5-2-0 Aana,3500 Sq. Feet,4 weeks ago,53500000,Lalitpur,Imadol,13,
6,4,2.5,3,West,2076.0,0-4-0-0 Aana,N/A Aana,4 years ago,21500000,Lalitpur,Tikathali,20,Concrete
5,3,2.0,2,South East,2080.0,0-3-0-0 Aana,000 Aana,3 months ago,21500000,Bhaktapur,Bhaktapur,13,Blacktopped
5,3,2.5,1,South,2080.0,0-4-1-1.60 Aana,"1,949.35 Sq. Feet",2 months ago,36400000,Lalitpur,Sunakothi,20,Blacktopped
6,4,3.5,2,South East,,0-5-0-0 Aana,N/A Aana,1 month ago,49000000,Lalitpur,Dhapakhel,16,Concrete
4,3,2.0,3,South,,0-3-1-0 Aana,1112.459 Sq. Feet,1 week ago,26500000,Lalitpur,Imadol,12,Paved
4,2,2.5,3,South,,0-20-0-0 Aana,N/A Aana,4 years ago,90000000,Lalitpur,Dhobighat,16,Blacktopped
5,4,3.0,4,South,,0-3-0-2 Aana,1069.726 Sq. Feet,1 week ago,26500000,Lalitpur,Imadol,16,Gravelled
5,4,3.0,1,East,,0-3-1-0 Aana,N/A Aana,1 week ago,32000000,Lalitpur,Imadol,13,Paved
5,3,2.0,4,East,,0-4-0-0 Aana,1369.181 Sq. Feet,1 day ago,27000000,Kathmandu,Budhanilkantha,8,Gravelled
4,4,3.0,1,East,2078.0,0-3-0-0 to 0-4-0-0 Aana,N/A Aana,2 years ago,21000000,Lalitpur,Imadol,13,Gravelled
0,0,,0,South,,0-2-3-2 Aana,N/A Aana,3 years ago,12200000,Bhaktapur,Suryabinayak,0,
0,0,,0,South,,0-2-3-0 Aana,N/A Aana,3 years ago,12200000,Bhaktapur,Suryabinayak,0,
4,5,2.0,4,North,,0-5-5-0 Aana,0-5-5-0 Aana,2 weeks ago,65000000,Lalitpur,Bhaisepati,13,Paved
4,3,2.0,0,East,2077.0,0-3-0-0 Aana,95 Sq. Meter,10 months ago,17500000,Bhaktapur,Bageshwori,20,Soil Stabilized
6,3,3.0,1,East,2080.0,0-3-2-1 Aana,N/A Aana,2 weeks ago,22500000,Lalitpur,Tikathali,13,Paved
4,4,2.5,1,West,2080.0,0-3-0-0 Aana,N/A Aana,4 weeks ago,24000000,Lalitpur,Imadol,13,Blacktopped
5,3,2.5,1,East,2080.0,0-5-3-3.70 Aana,"1,980.28 Aana",2 months ago,44800000,Lalitpur,Sunakothi,20,Blacktopped
2,1,1.35,1,North East,2076.0,0-3-2-0 Aana,N/A Aana,4 years ago,13000000,Lalitpur,Imadol,10,Gravelled
5,3,2.5,1,East,2080.0,0-4-3-1.20 Aana,"1,980.28 Sq. Feet",2 months ago,39000000,Lalitpur,Sunakothi,20,Blacktopped
0,0,2.5,0,East,,0-3-0-0 Aana,N/A Sq. Feet,3 years ago,15000000,Bhaktapur,Duwakot,13,Blacktopped
7,4,3.0,2,North,,0-4-2-0 Aana,820 Sq. Feet,1 year ago,31000000,Bhaktapur,Sipadol,20,
2,1,1.0,3,West,,0-2-2-2 Aana,898.579 Sq. Feet,1 week ago,14500000,Lalitpur,Imadol,13,Paved
5,3,3.0,1,South East,,0-3-0-1 Aana,N/A Aana,2 years ago,18000000,Bhaktapur,Changunarayan,13,
