Bedroom,Bathroom,Floor,Parking,Property Face,Build Year,Area Covered,Build Up Area,Posted Date,Price,District,Location,Road Distance,Type of Road
5,3,2.5,1,South,2080.0,1818.2,"2,148.49 Aana",2 months ago,42700000,Lalitpur,Sunakothi,20,Blacktopped
0,0,,0,West,,1369.0,N/A Sq. Feet,3 years ago,17000000,Bhaktapur,Bhaktapur,13,Gravelled
3,2,2.5,2,South,2070.0,1026.75,N/A Aana,3 years ago,19000000,Lalitpur,Thaiba,20,Paved
0,0,,0,East,,1026.75,N/A Sq. Feet,2 years ago,12000000,Bhaktapur,Bhaktapur,0,
6,3,3.0,1,East,2068.0,1882.37,2764.5 Aana,3 years ago,31000000,Lalitpur,Imadol,12,Blacktopped
6,5,2.0,2,East,,1411.78,1412.022 Sq. Feet,1 day ago,36500000,Kathmandu,Budhanilkantha,15,Gravelled
3,2,,1,South,2075.0,1454.56,890 Aana,5 years ago,29000000,Lalitpur,Bhaisepati,15,
4,3,2.5,1,North East,,1604.29,2200 Aana,5 months ago,51000000,Kathmandu,Budhanilkantha,20,Blacktopped
3,3,3.0,1,West,,1133.7,N/A Aana,11 months ago,20000000,Bhaktapur,Madhyapur Thimi,20,
0,0,,0,East,,1026.75,N/A Aana,2 years ago,11500000,Bhaktapur,Duwakot,0,
0,0,,0,West,,2738.0,N/A Sq. Feet,3 years ago,28500000,Bhaktapur,Sirutar,13,
6,7,2.0,5,West,,1540.12,1540.328 Sq. Feet,2 weeks ago,41500000,Lalitpur,Khumaltar,13,Blacktopped
4,3,3.0,1,South East,2022.0,1026.75,1600 Sq. Feet,2 years ago,20000000,Bhaktapur,Bhaktapur,20,Blacktopped
4,3,3.0,1,South,2080.0,1112.31,N/A Aana,1 week ago,26500000,Lalitpur,Mahalaxmisthan,13,Paved
5,5,2.0,3,East,,1155.09,1155.300 Sq. Feet,2 weeks ago,35555555,Lalitpur,Imadol,13,Gravelled
6,6,3.0,1,North,2080.0,1283.43,N/A Aana,2 months ago,29000000,Lalitpur,Imadol,13,Concrete
