Bedroom,Bathroom,Floor,Parking,Property Face,Build Year,Area Covered,Build Up Area,Posted Date,Price,District,Location,Road Distance,Type of Road
5,4,,1,North,2080.0,3 aana 1 paisa Aana,2150 Sq. Feet,1 month ago,32000000,Lalitpur,Imadol,13,
7,4,,20,South,2000.0,2--0-0-0 Aana,2-0-0-0 Aana,2 weeks ago,550000,Lalitpur,Bakhundol,13,Blacktopped
5,4,3.5,0,North West,,14.5 Aana,N/A Aana,1 year ago,69500000,Lalitpur,Dhapakhel,11,Blacktopped
4,4,,2,North,,12 Aana,N/A Aana,5 months ago,110000,Kathmandu,Chandol,0,
4,5,,1,West,2080.0,4.5 Aana,N/A Aana,6 months ago,45000000,Kathmandu,Bhangal,13,Gravelled
4,4,,1,South East,,4 Aana,2100 Sq. Feet,1 month ago,31500000,Lalitpur,Satdobato,13,
0,3,2.0,1,West,2077.0,3 aana 1 paisa Aana,0 Aana,1 month ago,20000000,Lalitpur,Lubhu,13,Gravelled
5,4,,1,North East,2080.0,0.3.0.0 Aana,2450 Aana,6 months ago,27500000,Kathmandu,Sitapaila,13,Gravelled
5,4,2.0,1,South,,3-1 Aana,2000 Sq. Feet,1 week ago,29500000,Lalitpur,Imadol,0,Paved
5,3,3.0,1,East,2023.0,3 Aana,2100 Sq. Feet,3 months ago,22500000,Kathmandu,Kapan,10,Gravelled
5,4,3.0,3,South,,3 Aana,1133.880 Sq. Feet,2 weeks ago,33500000,Lalitpur,Imadol,13,Paved
8,7,3.5,2,East,2075.0,7.1 Aana,3400 Sq. Feet,5 years ago,33000000,Lalitpur,Harisiddhi,10,
4,4,3.0,1,North,2080.0,3 aana 2 paisa 2 dam Aana,0 Aana,1 month ago,28500000,Lalitpur,Harisiddhi,20,Gravelled
6,4,3.0,1,South,,4-2 Aana,2100 Sq. Feet,1 week ago,29000000,Lalitpur,Imadol,0,Paved
3,3,2.0,1,South,2079.0,3 aana 3 dam Aana,0 Aana,1 month ago,17500000,Lalitpur,Lamatar,13,Paved
12,4,,0,South,,4 Aana,2610 Aana,5 years ago,22500000,Bhaktapur,Dadikot,20,
3,4,3.0,2,North,2069.0,3 Aana,N/A Sq. Feet,3 years ago,19000000,Bhaktapur,Balkot,10,Soil Stabilized
5,4,,0,South East,2080.0,3 Aana,N/A Aana,6 months ago,24500000,Kathmandu,Sitapaila,12,Paved
3,1,1.0,1,East,2019.0,4 Aana,N/A Aana,3 years ago,8000000,Bhaktapur,Bhaktapur,8,
4,4,3.0,1,West,,3 aana Aana,0 Aana,1 month ago,24000000,Lalitpur,Imadol,0,
5,4,,3,East,,9.2 aana Aana,N/A Aana,2 months ago,80000000,Lalitpur,Gwarko,13,
2,1,,1,South,,3 Aana,1430 Sq. Feet,1 month ago,15000000,Lalitpur,Imadol,13,
