Address,Bedroom,Bathroom,Floor,Parking,Property Face,Build Year,Area Covered,Road Access,Build Up Area,Posted Date,Price
"Suryabinayak 03, Suryabinayak, Bhaktapur",0,0,N/A,0,West,,0-4-0-0 Aana,0 Feet,N/A Sq. Feet,2 years ago,"NPR. 2,25,00,000"
"downtown, Imadol, Lalitpur",4,4,N/A,1,South,,3 Aana,13 Feet / Paved,N/A Aana,1 week ago,"NPR. 2,65,00,000 Onwards"
"bhaisepatti , mantri quarter, Bhaisepati, Lalitpur",4,4,2,2,West,2080,4 Aana,20 Feet / Paved,00 Aana,3 months ago,"NPR. 3,50,00,000 Onwards"
"Thulobharyang, Thulo Bharyang, Kathmandu",0,2,2.5,1,North West,2079,3 Aana,13 Feet / Paved,N/A Sq. Feet,3 months ago,"NPR. 3,40,00,000 Total Price"
"Sunakothi, Sunakothi, Lalitpur",5,3,2.5,1,South,2080,0-5-1-1.20 Aana,20 Feet / Blacktopped,"2,148.49 Aana",2 months ago,"NPR. 4,27,00,000"
"Bageshwori, Bhaktapur, Bhaktapur",0,0,N/A,0,West,,0-4-0-0 Aana,13 Feet / Gravelled,N/A Sq. Feet,3 years ago,"NPR. 1,70,00,000"
"Comfort Housing, Thaiba, Lalitpur",3,2,2.5,2,South,2070,0-3-0-0 Aana,20 Feet / Paved,N/A Aana,3 years ago,"NPR. 1,90,00,000"
"Phutung, Bhaktapur, Bhaktapur",0,0,N/A,0,East,,0-3-0-0 Aana,0 Feet,N/A Sq. Feet,2 years ago,"NPR. 1,20,00,000"
"Nearby,Ratamakai Chowk, Imadol, Imadol, Lalitpur",6,3,3,1,East,2068,0-5-2-0 Aana,12 Feet / Blacktopped,2764.5 Aana,3 years ago,"NPR. 3,10,00,000 Onwards"
"Bhangal, Budhanilkantha, Kathmandu",6,5,2,2,East,,0-4-0-2 Aana,15 Feet / Gravelled,1412.022 Sq. Feet,1 day ago,"NPR. 3,65,00,000 Onwards"
"sanagaun, Sano Gaun, Lalitpur",5,5,N/A,1,South East,2080,3.5 Aana,16 Feet,3000 Sq. Feet,1 month ago,"NPR. 4,50,00,000 Onwards"
"imadol, lalitpur, Imadol, Lalitpur",0,0,3,2,South West,2080,5 aana 1 paisa Aana,16 Feet / Paved,0 Aana,1 month ago,"NPR. 5,50,00,000"
"Gokul Awas, Bhaisepati, Lalitpur",3,2,N/A,1,South,2075,0-4-1-0 Aana,15 Feet,890 Aana,5 years ago,"NPR. 2,90,00,000"
"Roadshow Housing, Budhanilkantha, Kathmandu",4,3,2.5,1,North East,,0-4-2-3 Aana,20 Feet / Blacktopped,2200 Aana,5 months ago,"NPR. 5,10,00,000 Total Price"
"Hous, Madhyapur Thimi, Bhaktapur",3,3,3,1,West,,0-3-1-1 Aana,20 Feet,N/A Aana,11 months ago,"NPR. 2,00,00,000 Onwards"
"Duwakot, Duwakot, Bhaktapur",0,0,N/A,0,East,,0-3-0-0 Aana,0 Feet,N/A Aana,2 years ago,"NPR. 1,15,00,000"
"Sirutar, Sirutar, Bhaktapur",0,0,N/A,0,West,,0-8-0-0 Aana,13 Feet,N/A Sq. Feet,3 years ago,"NPR. 2,85,00,000"
"Khumaltar, Khumaltar, Lalitpur",6,7,2,5,West,,0-4-2-0 Aana,13 Feet / Blacktopped,1540.328 Sq. Feet,2 weeks ago,"NPR. 4,15,00,000 Onwards"
"Katunje Height, Suryabinayak, Bhaktapur, Bhaktapur",4,3,3,1,South East,2022,0-3-0-0 Aana,20 Feet / Blacktopped,1600 Sq. Feet,2 years ago,"NPR. 2,00,00,000"
"Imadol, Mahalaxmisthan, Lalitpur",4,3,3,1,South,2080,0-3-1-0 Aana,13 Feet / Paved,N/A Aana,1 week ago,"NPR. 2,65,00,000"
"Shital Height, Imadol, Lalitpur",5,5,2,3,East,,0-3-1-2 Aana,13 Feet / Gravelled,1155.300 Sq. Feet,2 weeks ago,"NPR. 3,55,55,555 Onwards"
"Shital Height, Imadol, Lalitpur",6,6,3,1,North,2080,0-3-3-0 Aana,13 Feet / Concrete,N/A Aana,2 months ago,"NPR. 2,90,00,000"
"Next to Highway, Lokanthali, Bhaktapur",5,4,3,1,East,,0-10-0-1.84 Aana,12 Feet / Concrete,N/A Aana,10 months ago,"NPR. 2,80,00,000 onwards"
"Nearby Kist Hospital, Imadol, Lalitpur",13,6,4.5,1,North,2067,0-4-0-0 Aana,15 Feet / Blacktopped,N/A Aana,3 years ago,"NPR. 3,50,00,000 Total price"
"Sallaghari, Sallaghari, Bhaktapur",0,0,N/A,0,West,2064,0-2-2-0 Aana,9 Feet,N/A Sq. Feet,2 years ago,"NPR. 1,50,00,000"
"Balkot, Suryabinayak, Bhaktapur",5,3,3,1,South,,4 Aana,13 Feet,N/A Aana,9 months ago,"NPR. 2,75,00,000 Onwards"
"Manbhawan, AVM, Chowk, Manbhawan, Lalitpur",9,5,3,3,East,2060,0-10-0-0 Aana,13 Feet / Blacktopped,0-6-0-0 Aana,3 years ago,"NPR. 6,25,00,000 Total price"
"Sunakothi, Sunakothi, Lalitpur",5,3,2.5,1,South,2080,0-4-3-1.40 Aana,20 Feet / Blacktopped,"2,148.49 Aana",2 months ago,"NPR. 4,03,00,000"
"Sundarbasti, Suryabinayak, Bhaktapur",0,0,N/A,0,North,,6 Aana,20 Feet / Paved,2.3 Aana,3 years ago,"NPR. 2,00,00,000"
"Imadol ,Shital Height, Imadol, Lalitpur",5,6,3,4,South East,,0-4-0-0 Aana,13 Feet / Paved,1369.181 Sq. Feet,1 week ago,"NPR. 3,95,00,000 Onwards"
"Sital Height, Imadol, Imadol, Lalitpur",8,5,4,2,South,2078,0-4-0-0 Aana,13 Feet / Gravelled,2600 Aana,2 years ago,"NPR. 3,35,00,000 Total price"
"Gamcha, Dadikot, Bhaktapur",2,2,2,1,West,,0-5-1-0 Aana,4 Feet,0-3-0-0 Aana,1 year ago,"NPR. 1,50,00,000 Onwards"
"Sano Bharyang, Sanobharyang, Kathmandu",5,5,2.5,0,South West,2074,13 Aana,20 Feet / Blacktopped,N/A Sq. Feet,3 months ago,"NPR. 9,75,00,000 Total Price"
"imadol, lalitpur, Imadol, Lalitpur",0,0,2,2,South West,,5 aana 2 paisa Aana,20 Feet,0 Aana,1 month ago,"NPR. 4,80,00,000 Onwards"
"Tikathali ,Sanagau School Chowk, Bhaktapur, Bhaktapur",5,4,2,4,South,,0-3-0-0 Aana,13 Feet / Gravelled,1026.886 Sq. Feet,1 week ago,"NPR. 2,15,00,000 Onwards"
"Swoyambhu, Swayambhu, Kathmandu",5,4,2.5,1,East,2074,0-3-2-0 Aana,13 Feet / Concrete,N/A Aana,3 months ago,"NPR. 3,30,00,000 Total Price"
"Rajkulo, Imadol, Imadol, Lalitpur",5,5,3,1,South,,0-3-1-0 Aana,13 Feet,N/A Aana,1 week ago,"NPR. 2,65,00,000 Onwards"
"Lokanthali, Lokanthali, Bhaktapur",14,4,3,0,East,,7.1 Aana,14 Feet,N/A Aana,5 years ago,"NPR. 3,50,00,000"
"Sirutar, Sirutar, Bhaktapur",0,0,N/A,0,East,,0-3-2-0 Aana,12 Feet,N/A Sq. Feet,2 years ago,"NPR. 1,45,00,000"
"Buddha Party Palace ,Tikathali, Bhaktapur, Bhaktapur",5,4,2,4,North,,0-4-0-0 Aana,13 Feet / Gravelled,1369.181 Sq. Feet,1 week ago,"NPR. 3,50,00,000 Onwards"
"Suncity, Pepsicola, Kathmandu",0,13,5,12,South East,2073,0-11-0-0 Aana,23 Feet,11000 Sq. Feet,5 years ago,"NPR. 11,00,00,000"
"Dholahiti, Lalitpur, Dholahiti, Lalitpur",0,0,2,2,South East,2080,4 aana 1 paisa 1 dam Aana,16 Feet / Gravelled,0 Aana,1 month ago,"NPR. 4,25,00,000"
"Near Kirat Yakthung Chumlung, Sovahity, Lalitpur",4,3,2.5,1,South,2073,0-3-0-0 Aana,10 Feet / Concrete,1003 Aana,3 years ago,"NPR. 2,00,00,000 Total price"
"44, Kalanki, Kathmandu",2,3,2,2,East,,8 Aana,14 Feet,N/A Aana,6 months ago,"NPR. 4,35,00,000 Onwards"
"Lamatar, Lamatar, Lalitpur",9,5,2,11,East,2015,10-1-0-0 Aana,14 Feet / Paved,2000 Sq. Feet,3 years ago,"NPR. 23,00,00,001 Onwards"
"Sipadol, Sipadol, Bhaktapur",0,0,1,0,East,,0-2-3-0 Aana,13 Feet / Gravelled,N/A Sq. Feet,3 years ago,"NPR. 1,18,00,000"
"Katunje, Bhaktapur, Bhaktapur",0,0,N/A,0,East,,0-4-0-0 Aana,10 Feet,N/A Sq. Feet,2 years ago,"NPR. 1,10,00,000"
"Syuchatar, Sitapaila, Kathmandu",6,6,N/A,1,North East,2080,0.4.1.0 Aana,13 Feet / Paved,N/A Aana,6 months ago,"NPR. 3,30,00,000 Onwards"
"Duwakot, Duwakot, Bhaktapur",0,0,N/A,0,West,,0-3-1-2 Aana,12 Feet,N/A Sq. Feet,3 years ago,"NPR. 1,50,00,000"
"sirutar, Sirutar, Bhaktapur",0,0,N/A,0,East,,0-8-0-0 Aana,13 Feet,N/A Aana,3 years ago,"NPR. 2,85,00,000"
"ochu height,imadol, Imadol, Lalitpur",0,0,3,2,South,2080,3 aana 1 paisa 2 dam Aana,20 Feet / Gravelled,0 Aana,1 month ago,"NPR. 3,55,00,000"
"Imadol, Imadol, Lalitpur",5,4,2.5,1,West,2080,0-3-0-0 Aana,13 Feet / Concrete,N/A Sq. Feet,2 months ago,"NPR. 2,85,00,000"
"Bhasipati, Balambu, Kathmandu",0,0,N/A,0,West,,4 Aana,14 Feet,N/A Aana,6 months ago,"NPR. 3,50,00,000 Onwards"
"Bhaisepati, Lalitpur, Bhaisepati, Lalitpur",4,0,3,2,North East,2080,4 aana Aana,15 Feet / Gravelled,0 Aana,1 month ago,"NPR. 3,50,00,000"
"Suryabinayak, Suryabinayak, Bhaktapur",0,0,N/A,0,West,,0-3-0-0 Aana,20 Feet / Gravelled,N/A Aana,3 years ago,"NPR. 1,10,00,000"
"Sitapaila, Sitapaila, Kathmandu",5,4,2.5,1,South,,0-4-0-1 Aana,10 Feet / Gravelled,N/A Aana,3 months ago,"NPR. 3,70,00,000 Total Price"
"Sunakothi, Sunakothi, Lalitpur",5,3,2.5,1,South,2080,0-4-1-1.80 Aana,20 Feet / Blacktopped,"1,980.28 Aana",2 months ago,"NPR. 3,67,00,000"
"Kupondole ,Jwagal, Kupondole, Lalitpur",3,3,2,3,East,,0-3-0-0 Aana,18 Feet / Blacktopped,1026.886 Sq. Feet,1 week ago,"NPR. 3,95,00,000 Onwards"
"Bageshwori, Changunarayan, Bhaktapur",0,0,N/A,0,East,,0-4-0-0 Aana,20 Feet / Gravelled,N/A Sq. Feet,3 years ago,"NPR. 26,00,000"
"Sitapaila, Saranpur, Sitapaila, Kathmandu",5,4,2,10,East,2065,29 Aana,16 Feet / Blacktopped,N/A Aana,3 months ago,"NPR. 17,50,00,000 Total Price"
"Tikathali, Tikathali, Lalitpur",0,3,2,2,East,,3 aana 3 dam Aana,11 Feet,0 Aana,1 month ago,"NPR. 2,60,00,000 Onwards"
"TEMPO PARK, Imadol, Lalitpur",6,5,N/A,1,South,2080,0-3-0-0 Aana,13 Feet,2780 Sq. Feet,2 months ago,"NPR. 2,80,00,000 Onwards"
"Suryabinayak, Suryabinayak, Bhaktapur",0,0,N/A,0,West,,0-3-1-0 Aana,13 Feet / Gravelled,N/A Sq. Feet,3 years ago,"NPR. 1,30,00,000"
"Tikathali, Tikathali, Lalitpur",4,3,2,1,East,2080,2 aana 3 paisa 1 dam Aana,13 Feet / Gravelled,0 Aana,1 month ago,"NPR. 2,30,00,000"
"Madhyapur thimi, Madhyapur Thimi, Bhaktapur",8,4,3,1,East,2072,1710 Sq. Feet,13 Feet / Paved,4300 Sq. Feet,1 year ago,"NPR. 3,98,00,000"
"changathali, Imadol, Lalitpur",2,1,1,1,South,,0-3-2-0 Aana,13 Feet,0 Aana,2 months ago,"NPR. 1,60,00,000 Total Price"
"Reliable Colony, Bhaisepati, Lalitpur",4,3,N/A,1,East,2069,3.5 Aana,20 Feet,1800 Sq. Feet,1 month ago,"NPR. 3,20,00,000"
"sanagaun, Tikathali, Lalitpur",6,3,3,1,South,2080,3 Aana,13 Feet / Paved,N/A Aana,1 week ago,"NPR. 2,60,00,000 Onwards"
"Near Suryabinayak, Sipadol, Bhaktapur",7,3,3,1,East,2076,0-3-2-0 Aana,10 Feet / Gravelled,2100 Sq. Feet,4 years ago,"NPR. 2,25,00,000 Total price"
"Suryabinayak, Suryabinayak, Bhaktapur",0,0,N/A,0,East,,0-4-2-0 Aana,0 Feet,N/A Sq. Feet,2 years ago,"NPR. 1,00,00,000"
"Gokul Awas, Bhaisepati, Lalitpur",4,3,N/A,1,North East,2074,0-4-0-0 Aana,13 Feet,2200 Aana,2 months ago,"NPR. 3,65,00,000 Onwards"
"Near Budhanilkantha temple (50 meters), Harihar Colony, Budhanilkantha, Kathmandu",10,5,4,6,North East,,24 Aana,18 Feet,4 Aana,3 months ago,"NPR. 14,50,00,000 Onwards"
"Sital Height, Imadol, Lalitpur",4,4,3,1,North,2078,0-3-0-0 Aana,13 Feet / Gravelled,2250 Aana,2 years ago,"NPR. 2,35,00,000 Total price"
"Dhapakhel, Lalitpur, Dhapakhel, Lalitpur",0,0,3,1,North East,2079,4 aana Aana,20 Feet / Paved,0 Aana,2 months ago,"NPR. 3,10,00,000"
"Imadol,Tikathalik, Imadol, Lalitpur",6,4,N/A,1,West,2080,2-3 Aana,13 Feet / Gravelled,N/A Aana,1 week ago,"NPR. 3,20,00,000 Onwards"
"Imadol, Imadol, Lalitpur",5,4,3,1,South,2080,0-3-1-0 Aana,13 Feet / Concrete,N/A Aana,2 months ago,"NPR. 2,99,00,000"
"Duwakot, Duwakot, Bhaktapur",0,0,N/A,0,East,,0-3-0-0 Sq. Feet,12 Feet,N/A Sq. Feet,2 years ago,"NPR. 1,15,00,000"
"Narayanthan, Budhanilkantha, Kathmandu",6,5,2,3,South East,,0-4-1-0 Aana,18 Feet / Gravelled,1454.755 Sq. Feet,1 day ago,"NPR. 3,85,00,000 Onwards"
"Sano Bharyang, Sano Bharyang, Kathmandu",4,4,N/A,1,North,2080,0-4-0-2 Aana,20 Feet / Gravelled,N/A Sq. Feet,3 months ago,"NPR. 3,75,00,000"
"Shital Height, Imadol, Lalitpur",4,3,2,2,South West,2080,2 aana 3 paisa Aana,13 Feet / Gravelled,0 Aana,1 month ago,"NPR. 2,35,00,000"
"Pipalbot, Nagarkot, Bhaktapur",2,1,1,0,North East,2077,6 Aana,0 Feet / Soil Stabilized,333 Sq. Feet,2 years ago,"NPR. 52,00,000"
"Shital Height, Imadol, Lalitpur",7,4,2.5,1,South,,0-3-1-0 Aana,20 Feet / Gravelled,N/A Sq. Feet,3 months ago,"NPR. 2,70,00,000 Total Price"
"Dalanpati, sundarbasti, Suryabinayak, Bhaktapur",7,3,3,1,North West,2069,0-3-3-2 Aana,11 Feet / Blacktopped,N/A Aana,8 months ago,"NPR. 2,15,00,000 Total Price"
"Tempo park, Imadol, Imadol, Lalitpur",6,6,3.5,1,North East,2080,0-3-2-0 Aana,13 Feet / Concrete,N/A Sq. Feet,4 days ago,"NPR. 2,95,00,000 Total price"
"Lubhu, Lalitpur, Lubhu, Lalitpur",0,4,2,2,East,2080,3 aana Aana,18 Feet / Gravelled,0 Aana,1 month ago,"NPR. 1,65,00,000"
"Balkot, Balkot, Bhaktapur",5,9,2,4,East,,0-7-0-0 Aana,14 Feet,3500 Sq. Feet,3 years ago,"NPR. 7,00,00,000 onward"
"downtown, Imadol, Lalitpur",5,4,3,1,North,2080,3 Aana,13 Feet / Paved,N/A Aana,1 week ago,"NPR. 2,75,00,000 Onwards"
"Bhaisepati, Bhaisepati, Lalitpur",5,3,3,4,North East,,0-17-0-0 Aana,20 Feet / Blacktopped,5819.018 Sq. Feet,2 weeks ago,"NPR. 14,00,00,000"
"Sikhar Tole, Bhadrakali Petrol Pump, Imadol, Lalitpur, Nepal, Imadol, Lalitpur",2,3,3,1,North East,2073,0-3-3-3 Aana,13 Feet / Gravelled,2300 Aana,2 years ago,"NPR. 2,70,00,000 Total Price"
"Harisiddhi, Harisiddhi, Lalitpur",5,4,N/A,1,East,2080,3 aana 1 paisa Aana,20 Feet,2650 Sq. Feet,1 month ago,"NPR. 3,95,00,000 Onwards"
"Gundu, Bhaktapur, Bhaktapur",0,0,N/A,0,West,,0-6-0-0 Aana,18 Feet / Gravelled,N/A Sq. Feet,3 years ago,"NPR. 1,10,00,000"
"imadol, lalitpur, Imadol, Lalitpur",0,3,3,2,South,2071,4 Aana,13 Feet / Gravelled,0 Aana,1 month ago,"NPR. 2,20,00,000"
"imadol, lalitpur, Imadol, Lalitpur",0,4,3,2,North,2079,3 aana Aana,20 Feet / Gravelled,0 Aana,1 month ago,"NPR. 3,00,00,000 Onwards"
"ochu height,imadol, Imadol, Lalitpur",0,0,3,1,West,2080,5 aana Aana,0 Feet,0 Aana,1 month ago,"NPR. 4,70,00,000"
"Kharipati, Kharipati, Bhaktapur",0,0,N/A,0,West,,0-3-0-0 Aana,20 Feet / Gravelled,N/A Sq. Feet,3 years ago,"NPR. 1,40,00,000"
"Shital Height, Imadol, Lalitpur",4,4,2,3,North,,0-2-2-0 Aana,13 Feet / Paved,855.738 Sq. Feet,4 days ago,"NPR. 2,20,00,000"
"Suryabinayak, Suryabinayak, Bhaktapur",0,0,N/A,0,West,,0-3-2-0 Aana,13 Feet,N/A Sq. Feet,3 years ago,"NPR. 1,75,00,000"
"Harisiddhi, Lalitpur, Harisiddhi, Lalitpur",0,0,2,1,West,2021,6 aanaa 3 paisa Aana,13 Feet / Gravelled,N/A Aana,2 months ago,"NPR. 4,50,00,000 Onwards"
"Duwakot-NEC, Duwakot, Bhaktapur",6,3,3,3,North,2073,04 Aana,10 Feet / Gravelled,700 Sq. Feet,3 years ago,"NPR. 1,45,00,000"
"Near Kist Hospital, Imadol, Lalitpur",5,4,N/A,1,North,2080,3 aana 1 paisa Aana,13 Feet,2150 Sq. Feet,1 month ago,"NPR. 3,20,00,000 Onwards"
"Tempo Park, Imadol, Lalitpur",7,4,N/A,2,South East,,0-5-2-0 Aana,13 Feet,3500 Sq. Feet,4 weeks ago,"NPR. 5,35,00,000"
"Imadol, Tikathali, Lalitpur",6,4,2.5,3,West,2076,0-4-0-0 Aana,20 Feet / Concrete,N/A Aana,4 years ago,"NPR. 2,15,00,000"
"bakhundole, Bakhundol, Lalitpur",7,4,N/A,20,South,2000,2--0-0-0 Aana,13 Feet / Blacktopped,2-0-0-0 Aana,2 weeks ago,"NPR. 5,50,000 Per Month"
"Gothatar, Bhaktapur., Bhaktapur, Bhaktapur",5,3,2,2,South East,2080,0-3-0-0 Aana,13 Feet / Blacktopped,000 Aana,3 months ago,"NPR. 2,15,00,000 Onwards"
"Sunakothi, Sunakothi, Lalitpur",5,3,2.5,1,South,2080,0-4-1-1.60 Aana,20 Feet / Blacktopped,"1,949.35 Sq. Feet",2 months ago,"NPR. 3,64,00,000"
"Near Gems School, Dhapakhel, Lalitpur",6,4,3.5,2,South East,,0-5-0-0 Aana,16 Feet / Concrete,N/A Aana,1 month ago,"NPR. 4,90,00,000 Total Price"
"Near Gems School, Dhapakhel, Lalitpur",5,4,3.5,0,North West,,14.5 Aana,11 Feet / Blacktopped,N/A Aana,1 year ago,"NPR. 6,95,00,000 Total Price"
"Bishalnagar, chandol, sukhi marg, Chandol, Kathmandu",4,4,N/A,2,North,,12 Aana,0 Feet,N/A Aana,5 months ago,"NPR. 1,10,000 Per Month"
"Bhaisipati, Bhangal, Kathmandu",4,5,N/A,1,West,2080,4.5 Aana,13 Feet / Gravelled,N/A Aana,6 months ago,"NPR. 4,50,00,000 Onwards"
"Imadol, Imadol, Lalitpur",4,3,2,3,South,,0-3-1-0 Aana,12 Feet / Paved,1112.459 Sq. Feet,1 week ago,"NPR. 2,65,00,000 Onwards"
"Dhobighat, Dhobighat, Lalitpur",4,2,2.5,3,South,,0-20-0-0 Aana,16 Feet / Blacktopped,N/A Aana,4 years ago,"NPR. 9,00,00,000 Total price"
"Imadol ,Shital House, Imadol, Lalitpur",5,4,3,4,South,,0-3-0-2 Aana,16 Feet / Gravelled,1069.726 Sq. Feet,1 week ago,"NPR. 2,65,00,000 Onwards"
