Address,Bedroom,Bathroom,Floor,Parking,Property Face,Build Year,Area Covered,Road Access,Build Up Area,Posted Date,Price
"Fulbari, Pokhara, Fulbari, Pokhara",0,0,4,0,North West,,7 Aana,15 Feet,N/A Aana,4 years ago,"NPR. 3,50,00,000"
"Roadshow Housing, Budhanilkantha, Kathmandu",4,3,2.5,1,North East,,0-5-2-1 Aana,20 Feet / Blacktopped,2350 Sq. Feet,5 months ago,"NPR. 5,40,00,000 Total Price"
"New colony, Sukedhara, Kathmandu",6,3,2,2,North,2072,3 Aana,14 Feet / Blacktopped,90.00 Aana,4 years ago,"NPR. 2,10,00,000 Onwards"
"Sana Gaun, Imadol, Lalitpur",2,1,1,0,North East,,0-3-0-1 Aana,12 Feet / Soil Stabilized,N/A Aana,4 years ago,"NPR. 1,20,00,000 Total price"
"Thulobharyang, Thulo Bharyang, Kathmandu",6,7,N/A,1,North East,2080,0-3-2-0 Aana,13 Feet / Concrete,N/A Aana,2 months ago,"NPR. 4,40,00,000"
"Yatayat Office sukedhara, Sukedhara, Kathmandu",18,6,N/A,6,South,,6 Aana,13 Feet / Blacktopped,N/A Aana,4 years ago,"NPR. 4,70,00,000 Total price"
"Sitapaila, Sitapaila, Kathmandu",4,5,2.5,1,East,2079,0-3-1-1 Aana,20 Feet / Gravelled,N/A Sq. Feet,1 month ago,"NPR. 2,20,00,000 Total Price"
"Kapan height, Kapan, Kathmandu",6,5,2.5,1,South,2080,0-4-1-2 Aana,13 Feet / Concrete,N/A Aana,2 months ago,"NPR. 3,50,00,000 Total Price"
"Hattigauda, Hattigauda, Kathmandu",4,5,2,3,East,2078,0-5-0-0 Aana,22 Feet / Gravelled,N/A Aana,2 years ago,"NPR. 2,60,00,000"
"Machha Pokhari, Balaju, Kathmandu",0,0,N/A,0,East,,0-8-0-0 Aana,13 Feet / Blacktopped,N/A Aana,4 years ago,"NPR. 3,80,00,000 Total price"
"Siddhicharan Marg, Shantinagar, Kathmandu",6,0,3,4,North,2042,0-6-2-0 Aana,10 Feet / Blacktopped,N/A Aana,4 years ago,"NPR. 4,25,00,000 Total price"
"Near, Grandy, Tokha, Kathmandu",6,0,N/A,0,North,,4 Aana,12 Feet / Soil Stabilized,N/A Aana,4 years ago,"NPR. 1,40,00,000 Total price"
"Boudha, Boudha, Kathmandu",10,3,3,0,South,,0-3-1-0 Aana,20 Feet,N/A Aana,4 years ago,"NPR. 2,20,00,000"
"Tampu Park, Imadol, Lalitpur",5,4,3,1,South,2080,0-3-0-0 Aana,13 Feet / Gravelled,N/A Aana,2 days ago,"NPR. 2,65,00,000 Onwards"
"Galkopakha, Thamel, Samakhusi, Kathmandu",2,2,2,1,West,2000,2.5 Aana,4 Feet / Paved,1900 Sq. Meter,1 month ago,"NPR. 1,50,00,000"
"Makalu petrol pump, Kalanki, Kathmandu",4,4,4,2,South,2066,4.75 Aana,14 Feet / Blacktopped,1260 Sq. Feet,2 months ago,"NPR. 85,00,000 Per Aana"
"Guna Colony, Sinamangal, Sinamangal, Kathmandu",7,5,3,2,East,2064,0-6-0-0 Aana,13 Feet / Blacktopped,2800 Aana,1 year ago,"NPR. 5,51,00,000 Total price"
"Sukedhara, Sukedhara, Kathmandu",11,0,3,0,East,,5 Aana,15 Feet,N/A Aana,4 years ago,"NPR. 3,30,00,000"
"Kausaltar, Kausaltar, Bhaktapur",10,0,4,0,East,,3.5 Aana,20 Feet / Soil Stabilized,N/A Aana,4 years ago,"NPR. 1,95,00,000"
"RAMKOT, Sitapaila, Kathmandu",4,4,2.5,2,South,2074,0-3-2-0 Aana,20 Feet / Blacktopped,1861.67 Aana,2 months ago,"NPR. 3,57,50,000"
"Sital Height, Imadol, Lalitpur",5,4,2.5,1,East,2077,0-4-0-2 Aana,13 Feet / Gravelled,2500 Aana,3 years ago,"NPR. 2,35,00,000 Total price"
"Ochu Height, Imadol, Lalitpur",4,3,2.5,1,North East,2076,0-3-2-0 Aana,13 Feet / Blacktopped,2148 Aana,3 years ago,"NPR. 2,20,00,000 Total price"
"Sanagaun Height, Imadol, Lalitpur",4,3,2.5,1,East,2076,0-4-0-0 Aana,20 Feet / Gravelled,2500 Aana,4 years ago,"NPR. 2,15,00,000 Total price"
"Jhaukhel, Changunarayan, Bhaktapur",0,0,3.5,0,West,,7 Aana,15 Feet / Gravelled,N/A Aana,4 years ago,"NPR. 2,15,00,000 Total price"
"Budhanilkantha, Budhanilkantha, Kathmandu",4,5,2.5,1,South,2078,0-4-1-0 Aana,16 Feet / Concrete,2500 Sq. Feet,2 months ago,"NPR. 4,65,00,000"
"Begnas lake, Lekhnath, Pokhara",9,10,3,3,North,2074,0-4-0-0 Aana,20 Feet / Gravelled,0-2-3-0 Aana,4 years ago,"NPR. 2,00,00,000 25"
"Kapan height, Kapan, Kathmandu",6,5,2.5,1,North East,2080,0-4-0-0 Aana,13 Feet / Concrete,N/A Aana,2 months ago,"NPR. 3,35,00,000 Total Price"
"Ram Bazar, Ram Bazar, Pokhara",0,0,N/A,0,South East,,5 Aana,20 Feet / Gravelled,N/A Aana,4 years ago,"NPR. 2,50,00,000"
"RAMKOT, Sitapaila, Kathmandu",3,3,2.5,2,West,2074,0-4-2-3 Aana,20 Feet / Blacktopped,2326.62 Aana,2 months ago,"NPR. 3,90,50,000"
"dauradipo haiway, Thankot, Kathmandu",0,0,N/A,0,East,,0-3-2-0 Aana,13 Feet / Blacktopped,N/A Aana,4 years ago,"NPR. 1,15,00,000 Total price"
"Tikathali, Buddha colony, Imadol, Lalitpur",5,3,2.5,2,East,2076,0-3-2-0 Aana,13 Feet / Gravelled,2000. Aana,4 years ago,"NPR. 1,95,00,000 Total price"
"Budhanilkantha, Budhanilkantha, Kathmandu",4,4,2,3,South,,10 Aana,13 Feet,N/A Aana,4 years ago,"NPR. 3,90,00,000"
"Chapali, Nearby Kunja Colony, Budhanilkantha, Kathmandu",9,3,3,2,South,2064,0-3-0-0 Aana,13 Feet / Gravelled,0-2-0-0 Aana,3 years ago,"NPR. 2,50,00,000"
"Nearby Buddha party palace, Imadol, Lalitpur",4,2,1.5,1,North East,2076,0-3-0-0 Aana,13 Feet / Gravelled,750 Aana,4 years ago,"NPR. 1,30,00,000 Total price"
"Near Chundevi Temple, Baluwatar, Kathmandu",7,6,N/A,2,South West,,6.5 Aana,13 Feet,3800 Aana,2 months ago,"NPR. 7,60,00,000 Onwards"
"opposite of Nepal Rastra Bank, Baluwatar, Kathmandu",5,5,2.5,1,South,,0-6-0-0 Aana,13 Feet / Blacktopped,N/A Aana,4 years ago,"NPR. 6,00,00,000 Total price"
"Nearby Jyotinagar, Budhanilkantha, Kathmandu",6,3,3,4,South East,,6 Aana,13 Feet,N/A Aana,4 years ago,"NPR. 3,40,00,000"
"Banasthali, Banasthali, Kathmandu",0,0,2,0,West,,0-3-2-2 Aana,13 Feet / Gravelled,N/A Aana,4 years ago,"NPR. 2,25,00,000 Total price"
